snapshot_index,time_s,ue_id,central_massive_mimo_sinr_db,distributed_fixed_sinr_db,distributed_movable_sinr_db,distributed_movable_optimization_2_sinr_db,distributed_movable_optimization_3_sinr_db
0,0.0,ue_000,45.117368411721024,27.539654650943206,32.014203136499255,48.974320517216945,37.40397790064838
0,0.0,ue_001,-66.09473765064135,34.57054654823806,-120.0,21.37727596091313,2.41097517577881
0,0.0,ue_002,-120.0,15.060238555798932,69.83138632271302,3.6497015982729106,10.656340170181892
0,0.0,ue_003,26.728096489888934,38.07592107382254,-39.96763474284817,16.393680431069065,24.561357597071133
0,0.0,ue_004,29.0758739575282,14.99633552031055,-21.56480066895879,37.57771816355412,26.514458961288625
0,0.0,ue_005,0.8385638386910955,37.888884501125645,26.60217673502414,78.25301373559783,78.25804397593545
0,0.0,ue_006,-67.3376347136296,-39.38370166164924,-15.826794242375916,77.51922951425924,-28.512277639032114
0,0.0,ue_007,16.561183228104706,29.011698837772233,24.04493789777969,29.371131881176666,57.50073487534542
0,0.0,ue_008,21.195702382730822,45.87001741559904,35.23732556342752,32.147508784325595,46.03941915773083
0,0.0,ue_009,38.893918596214036,-3.4659120788403968,11.452825709851371,82.80182631949437,37.48397801212516
1,5.0,ue_000,38.90255210311493,26.777168270718743,32.8414514150269,46.45782301273164,33.99484090878036
1,5.0,ue_001,-22.589383096953668,25.69783538793714,-120.0,24.5999427536748,23.617360173385187
1,5.0,ue_002,-120.0,15.49939351648578,69.87724417196456,3.692275672703158,11.418279287104266
1,5.0,ue_003,25.722779881249195,42.39262273752267,-41.05161338005929,17.705643728457844,43.56874565301738
1,5.0,ue_004,28.323455106541033,7.154703342858289,-18.4448083415959,38.46338554596126,27.364203630718706
1,5.0,ue_005,-2.663584523238238,39.44339404591284,43.594163443877605,78.61208673609924,78.6613220610624
1,5.0,ue_006,3.454620891239485,-7.4546101123425,13.078608369210018,61.433545004734256,28.177263364962307
1,5.0,ue_007,13.943628050498745,39.48532286834008,26.328144185497152,31.464609465811005,61.98162647493112
1,5.0,ue_008,20.719187209394434,46.27688621316031,30.355704327364,31.801350017370666,45.47731315294847
1,5.0,ue_009,35.592667273042,8.494839971596475,30.543726424357533,57.70915992134404,43.074793045330765
2,10.0,ue_000,36.98489483476418,27.76466808323031,32.377054694503606,48.05665452738857,32.22972758206203
2,10.0,ue_001,-28.045324572341062,25.472133843365782,-120.0,26.04685808320533,24.634518666499194
2,10.0,ue_002,-120.0,14.619395278916885,69.88469658254787,2.4846563441296605,10.408699197996329
2,10.0,ue_003,15.949874492796496,37.624274032140626,51.67078121869943,18.510165101373204,57.3805613278944
2,10.0,ue_004,25.37201394636032,7.128129427045452,-17.701074555421876,38.50980662137181,27.342465716935457
2,10.0,ue_005,-8.035380190544188,48.627009548548884,43.328986887808554,59.70659054980164,60.36974916715018
2,10.0,ue_006,2.436071920739992,-7.058337609571485,15.412849728470448,56.891288647423124,32.099034114740974
2,10.0,ue_007,10.078123978399077,39.33785423644008,24.21679874488817,30.633227433662228,65.62780939428959
2,10.0,ue_008,20.109514365416747,47.544186446160694,33.662593908446354,30.305062212911015,44.684706647150136
2,10.0,ue_009,23.859978105681485,13.116279023717434,21.86060656808472,56.57600814629141,49.93438861754914
3,15.0,ue_000,36.64733940279169,27.96649364789021,17.28266097093074,46.96086642134162,31.786718438378486
