site_id,x_m,y_m,z_m,yaw_deg,pitch_deg,mount_type,enabled,source,selected
movable_ap_01,-62.207860037299724,95.7960088520224,1.5,90.55021528779652,-10.0,facade,True,seed:wall_Blok_B_04_02,True
movable_ap_02,111.32505492884587,23.657633741233678,1.5,131.51691983685623,-10.0,facade,True,seed:wall_Blok_L_00_00,True
movable_ap_03,18.640529392241856,-64.59942245712723,1.5,-25.792159582879258,-10.0,facade,True,seed:wall_Blok_P_00_00,True
movable_ap_04,10.716760202292829,-80.996252029929,1.5,-25.792159582879258,-10.0,facade,True,seed:wall_Blok_P_00_01,True
movable_ap_05,-75.86747467960721,-95.62270908678045,1.5,25.38494568296621,-10.0,facade,True,seed:wall_building_452650244_00_00,True
movable_ap_06,99.98089156023681,-43.50118310850955,1.5,-137.29112417569013,-10.0,facade,True,seed:wall_building_452653890_01_01,True
