time_s,ue_id,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps
0.0,ue_000,-9.160658067701062,41.5506962854262,1.5,0.06866816308774873,0.540262159461868,0.0
0.0,ue_001,-98.83264510553391,-88.67195940679932,1.5,1.1776014022646621,1.1776014022646621,0.0
0.0,ue_002,100.60432211845182,-89.23499218281358,1.5,0.0,0.0,0.0
0.0,ue_003,90.38410440012947,48.10530389674579,1.5,-3.0294399008866066,-2.7586414016348315,0.0
0.0,ue_004,-93.63685046216277,74.27316547915468,1.5,1.0319983989899781,-0.8049510366919236,0.0
0.0,ue_005,-19.39567788154818,-51.1444079185564,1.5,0.40076000201171313,1.083258485498726,0.0
0.0,ue_006,-84.32059229172862,-24.310077772633147,1.5,-0.8609830215488842,2.460983021548883,0.0
0.0,ue_007,52.60432211845182,-3.9984968763663318,1.5,0.0,0.9650838737029076,0.0
0.0,ue_008,36.232978570785924,-82.17213882695643,1.5,-0.769049449855612,0.1874293288285685,0.0
0.0,ue_009,39.77689549996416,41.93758119869876,1.5,-0.6345146763024687,-1.2010717986286579,0.0
5.0,ue_000,-8.817317252262319,44.25200708273554,1.5,0.06866816308774873,0.540262159461868,0.0
5.0,ue_001,-92.9446380942106,-82.783952395476,1.5,1.1776014022646621,1.1776014022646621,0.0
5.0,ue_002,100.60432211845182,-89.23499218281358,1.5,0.0,0.0,0.0
5.0,ue_003,75.23690489569644,34.31209688857163,1.5,-3.0294399008866066,-2.7586414016348315,0.0
5.0,ue_004,-88.47685846721288,70.24841029569507,1.5,1.0319983989899781,-0.8049510366919236,0.0
5.0,ue_005,-17.391877871489616,-45.728115491062766,1.5,0.40076000201171313,1.083258485498726,0.0
5.0,ue_006,-88.62550739947304,-12.005162664888733,1.5,-0.8609830215488842,2.460983021548883,0.0
5.0,ue_007,52.60432211845182,0.8269224921482063,1.5,0.0,0.9650838737029076,0.0
5.0,ue_008,32.387731321507864,-81.23499218281358,1.5,-0.769049449855612,0.1874293288285685,0.0
5.0,ue_009,36.60432211845182,35.93222220555547,1.5,-0.6345146763024687,-1.2010717986286579,0.0
10.0,ue_000,-11.457603352027945,39.948877670802176,1.5,-0.5280572199531253,-0.8606258823866725,0.0
10.0,ue_001,-91.39567788154818,-81.23499218281358,1.5,0.3097920425324844,0.3097920425324844,0.0
10.0,ue_002,100.60432211845182,-89.23499218281358,1.5,0.0,0.0,0.0
10.0,ue_003,61.845340781701665,22.117590839218572,1.5,-2.678312822798955,-2.438901209870612,0.0
10.0,ue_004,-88.47685846721288,70.24841029569507,1.5,0.0,0.0,0.0
10.0,ue_005,-14.727819202665021,-41.065711456597946,1.5,0.532811733764919,0.9324808068929642,0.0
10.0,ue_006,-91.39567788154818,-9.234992182813585,1.5,-0.5540340964150289,0.5540340964150297,0.0
10.0,ue_007,52.60432211845182,6.386791677771743,1.5,0.0,1.1119738371247074,0.0
10.0,ue_008,28.60432211845182,-80.28750213894998,1.5,-0.7566818406112091,0.18949800877272197,0.0
10.0,ue_009,34.24581683065182,30.765007817186415,1.5,-0.47170105755999997,-1.0334428776738107,0.0
15.0,ue_000,-11.457603352027945,39.948877670802176,1.5,0.0,0.0,0.0
15.0,ue_001,-91.39567788154818,-81.23499218281358,1.5,0.0,0.0,0.0
15.0,ue_002,100.60432211845182,-89.23499218281358,1.5,0.0,0.0,0.0
15.0,ue_003,58.4494847016578,8.902003943734641,1.5,-0.6791712160087726,-2.643117379096786,0.0
15.0,ue_004,-88.47685846721288,70.24841029569507,1.5,0.0,0.0,0.0
15.0,ue_005,-10.497343285433562,-43.97804974562405,1.5,0.8460951834462918,-0.5824676578052206,0.0
15.0,ue_006,-91.39567788154818,-9.234992182813585,1.5,0.0,0.0,0.0
15.0,ue_007,52.60432211845182,6.765007817186415,1.5,0.0,0.07564322788293439,0.0
15.0,ue_008,28.60432211845182,-75.1686666033071,1.5,0.0,1.0237671071285745,0.0
15.0,ue_009,28.60432211845182,30.765007817186415,1.5,-1.12829894244,0.0,0.0
20.0,ue_000,-11.457603352027945,39.948877670802176,1.5,0.0,0.0,0.0
20.0,ue_001,-91.39567788154818,-74.20557047716026,1.5,0.0,1.405884341130664,0.0
20.0,ue_002,100.60432211845182,-81.23499218281358,1.5,0.0,1.6,0.0
