ue_id,central_massive_mimo_mean_zf_sinr_db,distributed_fixed_mean_zf_sinr_db,distributed_movable_mean_zf_sinr_db,distributed_movable_optimization_2_mean_zf_sinr_db,distributed_movable_optimization_3_mean_zf_sinr_db
ue_000,10.174156798426433,14.618533227676748,18.353257632812266,42.53909903089211,37.88466062025869
ue_001,-18.522407950884915,17.05006902254119,23.063974462237265,39.52236483031257,31.054084795804403
ue_002,16.134957111166454,18.098890515451977,19.310858471824755,41.26228417499875,38.57390210665203
ue_003,5.4921788382639,18.694412108693253,35.391105064816024,40.869056925894675,37.88206791633923
ue_004,15.977644563040636,14.353809568504795,22.48159522880652,37.55660726257398,34.32415226893539
ue_005,15.960827355073482,25.271442832570596,12.656257920440382,41.77049415244141,38.76598495248621
ue_006,4.232636535465101,15.81619306367734,33.93338880903531,40.819306444535414,35.27568487818615
ue_007,14.137996702087277,34.788622981113434,18.442260838718685,37.24952068232164,33.042435370578595
ue_008,10.22589254732724,37.098364384119904,25.05131827161986,36.36050659713239,34.3658626035433
ue_009,24.535518421561402,17.650338042358662,19.368431973479304,39.305758297773714,36.03431159193205
