strategy,score,outage,percentile_10_db,peer_tiebreak,capped,evaluated_combinations,final_candidate_ids
central_massive_mimo,-1.2701641232092291,0.20083217753120666,-23.208172102567527,9.107665945035412,False,0,roof_Blok_A
distributed_fixed,0.43541245098625375,0.05228848821081831,5.647331170174962,20.533438068832396,False,0,wall_Blok_B_04_02 wall_Blok_L_00_00 wall_Blok_P_00_00 wall_Blok_P_00_01 wall_building_452650244_00_00 wall_building_452653890_01_01
distributed_movable,0.7169597959852907,0.04313453536754508,9.101473910814983,30.502063581208656,False,3507,wall_Blok_D_02_00 wall_Blok_E_07_01 wall_Blok_E_07_02 wall_Blok_G_02_01 wall_Blok_H_02_01 wall_Blok_L_1_00_00
