site_id,x_m,y_m,z_m,yaw_deg,pitch_deg,mount_type,enabled,source,selected
wall_building_452650239_01_00,-48.013170768037,-96.85562889472453,1.5,-89.44942709773562,-10.0,facade,True,wall_metadata,True
wall_building_452650244_00_00,-75.86747467960721,-95.62270908678045,1.5,25.38494568296621,-10.0,facade,True,wall_metadata,True
wall_building_452650244_05_00,-92.23321079384945,-92.56230377780258,1.5,163.06058263485343,-10.0,facade,True,wall_metadata,True
wall_building_452650244_11_00,-83.20047057173909,-84.19407249493153,1.5,34.04293112797116,-10.0,facade,True,wall_metadata,True
wall_building_452650245_03_01,-58.45557021213282,-81.41500541890369,1.5,-38.93061783537277,-10.0,facade,True,wall_metadata,True
wall_building_452650245_13_00,-72.99976105551994,-77.53060847955838,1.5,124.00038382172391,-10.0,facade,True,wall_metadata,True
wall_building_452652032_00_00,-114.9106131111192,79.75522906400141,1.5,-44.30685440957039,-10.0,facade,True,wall_metadata,True
wall_building_452652032_07_00,-106.03103896697415,71.6581788214879,1.5,45.6229336815633,-10.0,facade,True,wall_metadata,True
wall_building_452653830_01_00,78.59504507717817,-90.71670438955586,1.5,142.11049214279313,-10.0,facade,True,wall_metadata,False
wall_building_452653873_00_00,89.24243247246369,-54.04578460666802,1.5,-136.48679384608153,-10.0,facade,True,wall_metadata,True
wall_building_452653879_02_01,78.07885035082339,-75.7030747766631,1.5,163.09369270495932,-10.0,facade,True,wall_metadata,True
wall_building_452653879_09_00,65.91798687556812,-92.89530283845916,1.5,177.84046354247675,-10.0,facade,True,wall_metadata,True
wall_building_452653879_12_01,68.15383408392938,-65.26029887498767,1.5,160.65549247108387,-10.0,facade,True,wall_metadata,True
wall_building_452653880_00_00,114.40331629005709,-33.43485395232706,1.5,114.46793389036804,-10.0,facade,True,wall_metadata,True
wall_building_452653888_00_00,107.0152863772763,-95.36353145225782,1.5,-89.4477270454998,-10.0,facade,True,wall_metadata,True
wall_building_452653890_00_00,109.125592381833,-53.402127401745574,1.5,-137.24756210525632,-10.0,facade,True,wall_metadata,True
wall_building_452653890_01_01,99.98089156023681,-43.50118310850955,1.5,-137.29112417569013,-10.0,facade,True,wall_metadata,True
wall_building_452653891_02_00,92.4377558009086,-91.8485504142595,1.5,133.4863108662519,-10.0,facade,True,wall_metadata,True
wall_building_452653892_00_00,107.7241810936943,-80.58829243877999,1.5,-136.5884333552076,-10.0,facade,True,wall_metadata,True
wall_building_452653892_02_01,94.24783132897797,-66.44004552961991,1.5,-138.21746625274125,-10.0,facade,True,wall_metadata,True
wall_building_452653907_00_00,80.40816157115069,-62.544198252578674,1.5,42.56057491899578,-10.0,facade,True,wall_metadata,True
wall_building_1413856798_00_00,-37.115328642390985,88.8280998814009,1.5,-46.664208529267874,-10.0,facade,True,wall_metadata,True
wall_building_1413856798_04_00,-52.50036525597238,82.49263188284579,1.5,-53.34946396123464,-10.0,facade,True,wall_metadata,True
wall_building_1413856798_06_00,-57.295749202805055,69.2318939082275,1.5,13.838289612445791,-10.0,facade,True,wall_metadata,True
wall_building_1413856798_09_00,-43.31363938210275,59.383527752887645,1.5,87.91420776558628,-10.0,facade,True,wall_metadata,True
wall_building_1413856798_10_01,-52.93584624911099,46.528848108673564,1.5,-46.726985779024304,-10.0,facade,True,wall_metadata,True
wall_Blok_L_00_00,111.32505492884587,23.657633741233678,1.5,131.51691983685623,-10.0,facade,True,wall_metadata,True
wall_Blok_L_1_00_00,95.70809990996455,-12.926250545613614,1.5,-136.70150989672175,-10.0,facade,True,wall_metadata,True
wall_Blok_L_1_02_01,114.78085665693379,-4.892168624877053,1.5,0.5523957940387069,-10.0,facade,True,wall_metadata,False
wall_Blok_M_00_00,83.05781691470568,0.7934614873968483,1.5,-136.8738341799955,-10.0,facade,True,wall_metadata,True
wall_Blok_M_00_01,68.17445685078232,16.68361525304661,1.5,-136.8738341799955,-10.0,facade,True,wall_metadata,True
wall_Blok_M_03_00,114.32206337840293,42.6933759478792,1.5,0.5523984367498687,-10.0,facade,True,wall_metadata,False
wall_Blok_M_05_01,96.40806792606978,19.980603853043352,1.5,-47.09328583460679,-10.0,facade,True,wall_metadata,True
wall_Blok_D_02_00,5.756071545601453,81.83956379649034,1.5,-136.97793291876712,-10.0,facade,True,wall_metadata,True
wall_Blok_D_02_01,-5.322817486656349,93.71104766968018,1.5,-136.97793291876712,-10.0,facade,True,wall_metadata,True
