window_index,start_time_s,end_time_s,ap_id,x_m,y_m,z_m,source
9,540.0,590.0,movable_ap_03,-10.113821685965434,8.789319062473375,1.5,relocated:wall_Blok_A_02_01
9,540.0,590.0,movable_ap_04,32.19266995174738,62.415640891581276,1.5,relocated:wall_Blok_E_07_01
9,540.0,590.0,movable_ap_05,5.756071545601453,81.83956379649034,1.5,relocated:wall_Blok_D_02_00
9,540.0,590.0,movable_ap_06,17.337276371432104,78.45245175211339,1.5,relocated:wall_Blok_E_07_02
10,600.0,600.0,movable_ap_01,-5.322817486656349,93.71104766968018,1.5,relocated:wall_Blok_D_02_01
10,600.0,600.0,movable_ap_02,5.756071545601453,81.83956379649034,1.5,relocated:wall_Blok_D_02_00
10,600.0,600.0,movable_ap_03,-10.113821685965434,8.789319062473375,1.5,relocated:wall_Blok_A_02_01
10,600.0,600.0,movable_ap_04,95.70809990996455,-12.926250545613614,1.5,relocated:wall_Blok_L_1_00_00
10,600.0,600.0,movable_ap_05,17.337276371432104,78.45245175211339,1.5,relocated:wall_Blok_E_07_02
10,600.0,600.0,movable_ap_06,32.19266995174738,62.415640891581276,1.5,relocated:wall_Blok_E_07_01
