bin_center_m,count
19.222164001906233,76
33.609136342447606,40
47.99610868298898,31
62.38308102353035,47
76.77005336407173,41
91.1570257046131,32
105.54399804515448,18
119.93097038569586,10
134.31794272623722,7
148.7049150667786,6
163.09188740731997,3
177.47885974786135,0
