threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.03467406380027739,0.34674063800277394,0.3079056865464632
-9.0,0.03495145631067961,0.34951456310679613,0.3092926490984743
-8.0,0.03578363384188627,0.3578363384188627,0.31345353675450766
-7.0,0.0361997226074896,0.361997226074896,0.31622746185852985
-6.0,0.03730929264909848,0.37309292649098474,0.3217753120665742
-5.0,0.03855755894590846,0.3855755894590846,0.3245492371705964
-4.0,0.04022191400832178,0.40221914008321774,0.332871012482663
-3.0,0.0420249653259362,0.420249653259362,0.34119278779472956
-2.0,0.04479889042995839,0.44798890429958393,0.34951456310679613
-1.0,0.0478502080443828,0.478502080443828,0.361997226074896
0.0,0.05228848821081831,0.5228848821081831,0.3855755894590846
1.0,0.05908460471567268,0.5908460471567267,0.42302357836338417
2.0,0.06463245492371705,0.6463245492371706,0.43828016643550627
3.0,0.070873786407767,0.7087378640776699,0.4618585298196949
4.0,0.07933425797503467,0.7933425797503467,0.492371705963939
5.0,0.09098474341192787,0.9098474341192788,0.5325936199722607
6.0,0.10499306518723994,1.0499306518723994,0.5839112343966713
7.0,0.1173370319001387,1.1733703190013869,0.6171983356449375
8.0,0.13509015256588072,1.3509015256588073,0.6588072122052705
9.0,0.15325936199722606,1.5325936199722607,0.7031900138696255
10.0,0.17517337031900138,1.751733703190014,0.7420249653259362
11.0,0.2029126213592233,2.029126213592233,0.8030513176144244
12.0,0.23675450762829403,2.36754507628294,0.8502080443828016
13.0,0.27045769764216365,2.7045769764216367,0.8945908460471568
14.0,0.2986130374479889,2.986130374479889,0.9140083217753121
15.0,0.3263522884882108,3.263522884882108,0.9375866851595007
16.0,0.3572815533980582,3.5728155339805827,0.9500693481276006
17.0,0.38599167822468794,3.8599167822468794,0.9639389736477115
18.0,0.4097087378640777,4.097087378640777,0.9722607489597781
19.0,0.43703190013869625,4.370319001386963,0.9778085991678225
20.0,0.46726768377253813,4.672676837725382,0.9819694868238558
