time_s,worst_user_sinr_db
0.0,-120.0
5.0,-120.0
10.0,-120.0
15.0,-120.0
20.0,-120.0
25.0,-120.0
30.0,-120.0
35.0,-120.0
40.0,-120.0
45.0,-120.0
50.0,-120.0
55.0,-120.0
60.0,-120.0
65.0,-120.0
70.0,-120.0
75.0,-120.0
80.0,-120.0
85.0,-120.0
90.0,-120.0
95.0,-26.54716888958426
100.0,-24.79923412986063
105.0,-21.75451238736864
110.0,-32.02248297574385
115.0,-120.0
120.0,-120.0
125.0,-120.0
130.0,-120.0
135.0,-120.0
140.0,-27.25217069056018
145.0,-33.895112573321754
150.0,-17.306852824196078
155.0,-36.298690885475196
160.0,-120.0
165.0,-120.0
170.0,-120.0
175.0,-120.0
180.0,-120.0
185.0,-40.02584732064605
190.0,-42.05547914434494
195.0,-120.0
200.0,-120.0
205.0,-120.0
210.0,-120.0
215.0,-120.0
220.0,-120.0
225.0,-120.0
230.0,-120.0
235.0,-120.0
240.0,-120.0
245.0,-120.0
250.0,-40.74313237574498
255.0,-41.844123212030695
260.0,-42.46183031249299
265.0,-43.26364971719915
270.0,-45.40842671428707
275.0,-120.0
280.0,-120.0
285.0,-120.0
290.0,-120.0
295.0,-120.0
300.0,-82.64976923827619
305.0,-82.37687246199428
310.0,-82.3975231156935
315.0,-90.04272008436702
320.0,-46.28026305734652
325.0,-47.47855660801444
330.0,-45.49589047101669
335.0,-93.20549676371442
340.0,-78.61270752526829
345.0,-73.48402816495589
350.0,-73.4412039164137
355.0,-81.04481463385719
360.0,-76.64598252872833
365.0,-80.50136540906269
370.0,-81.73953588810014
375.0,-75.26903114922173
380.0,-71.44695665564959
385.0,-120.0
390.0,-120.0
395.0,-79.25576309720876
400.0,-76.20930324329413
405.0,-85.59245419209212
410.0,-79.45546123523046
415.0,-74.98206833437027
420.0,-72.75535019763515
425.0,-76.32281800653666
430.0,-41.7490624980631
435.0,-40.265292368304905
440.0,-39.83886439270884
445.0,-41.025694081030686
450.0,-41.84414451409467
455.0,-43.364349575316794
460.0,-120.0
465.0,-41.72325307451244
470.0,-120.0
475.0,-120.0
480.0,-120.0
485.0,-43.24448344121764
490.0,-43.43133547265667
495.0,-43.30801131400007
500.0,-42.67998438116688
505.0,-43.15697105035375
510.0,-42.015012624627275
515.0,-120.0
520.0,-120.0
525.0,-120.0
530.0,-120.0
535.0,-120.0
540.0,-120.0
545.0,-44.227466871095444
550.0,-42.174655322157435
555.0,-42.13477450698246
560.0,-49.20462162890273
565.0,-49.23065295601084
570.0,-120.0
575.0,-120.0
580.0,-120.0
585.0,-31.539357483153353
590.0,-33.39251730676811
595.0,-32.666075965199
600.0,-31.798274078598002
605.0,-28.671427327593516
610.0,-25.842179571605975
615.0,-20.067176816984688
620.0,-17.787570831592063
625.0,-18.152866509026726
630.0,-19.798687393043075
635.0,-21.236391834770902
640.0,-30.53876038231673
645.0,-24.723360900717758
650.0,-23.316811812971917
655.0,-16.449629895204637
660.0,-21.335057206871006
665.0,-20.06911931025837
670.0,-19.814855919463366
675.0,-18.99979622031066
680.0,-9.342253268932211
685.0,-4.586448480518543
690.0,4.246845586641032
695.0,5.181589231574868
700.0,-14.841238944052119
705.0,-18.454189597369258
710.0,-21.523012994916343
715.0,-120.0
720.0,-23.71352258828273
725.0,-22.039407164595314
730.0,-26.67779639495791
735.0,-24.462899296374463
740.0,-23.448417007879982
745.0,-39.086165779730415
750.0,-20.50525061457778
755.0,-21.22357753571535
760.0,-120.0
765.0,-22.603566040547385
770.0,-120.0
775.0,-120.0
780.0,-120.0
785.0,-120.0
790.0,-120.0
795.0,-120.0
800.0,-18.095768136395726
805.0,-22.041058524296787
810.0,-16.892494635981002
815.0,-27.2497010345592
820.0,-120.0
825.0,-26.138673070457365
830.0,-26.113742198283255
835.0,-26.132855045410082
840.0,-17.91263955995879
845.0,-24.37509308777399
850.0,-52.866613726840214
855.0,-120.0
860.0,-120.0
865.0,-120.0
870.0,-120.0
875.0,-120.0
880.0,-120.0
885.0,-120.0
890.0,-52.01676000531986
895.0,-120.0
900.0,-120.0
905.0,-41.75520391480966
910.0,-41.762528137271744
915.0,-74.69730521365007
920.0,-120.0
925.0,-74.5066034397754
930.0,-74.62540939319516
935.0,-73.54229791520497
940.0,-120.0
945.0,-41.02632538248194
950.0,-42.18347403244704
955.0,-43.300294432717976
960.0,-120.0
965.0,-46.112652000321276
970.0,-60.09305242848761
975.0,-80.52617504581437
980.0,-73.95498485663128
985.0,-120.0
990.0,-120.0
995.0,-120.0
1000.0,-41.31548594511567
1005.0,-23.148722366112167
1010.0,-22.536065888029412
1015.0,-30.68244683745023
1020.0,-39.65494583437539
1025.0,-39.25176417669186
1030.0,-42.78311055120737
1035.0,-44.9515018115725
1040.0,-39.20015010384409
1045.0,-120.0
1050.0,-44.23956484387133
1055.0,-35.9185591389813
1060.0,-34.69356920741687
1065.0,-31.084207159770095
1070.0,-4.774604965480025
1075.0,-7.522450297962648
1080.0,-3.8791850527096567
1085.0,-1.985195553747248
1090.0,-4.0813973419556735
1095.0,-1.835122223812601
1100.0,-3.448013189307276
1105.0,-50.123191271320486
1110.0,-52.887432761756116
1115.0,-54.47181537285718
1120.0,-52.646290616435664
1125.0,-4.476970825662353
1130.0,-101.98052099092324
1135.0,-102.33260517161301
1140.0,-1.6986104912886681
1145.0,-1.0568290662836302
1150.0,-8.278706914364408
1155.0,-7.870376926248125
1160.0,-0.35075815000428767
1165.0,-3.0817279072184856
1170.0,-7.125826194797062
1175.0,-34.66775587202758
1180.0,-31.80761862684539
1185.0,-40.969839784415825
1190.0,-120.0
1195.0,-73.57749380221006
1200.0,-71.07090405969264
1205.0,-42.80131024479495
1210.0,-41.612427521980244
1215.0,-27.148124446775057
1220.0,-44.09646647058946
1225.0,-19.692701769645144
1230.0,-38.84975223316297
1235.0,-39.09255608616762
1240.0,-39.62874911869511
1245.0,-39.233361894171125
1250.0,-120.0
1255.0,-39.22428875090231
1260.0,-45.60105289978179
1265.0,-29.121021843435425
1270.0,-46.25376643096327
1275.0,-50.162243750464796
1280.0,-42.85692138545977
1285.0,-45.55270119921437
1290.0,-42.1567371616151
1295.0,-43.30027943318608
1300.0,-120.0
1305.0,-42.25092614317549
1310.0,-43.1683585980999
1315.0,-41.15599183884343
1320.0,-120.0
1325.0,-120.0
1330.0,-120.0
1335.0,-25.90826105027674
1340.0,-32.66625669173056
1345.0,-31.335781753032844
1350.0,-42.73258480009818
1355.0,-42.89925500858885
1360.0,-43.341155145076236
1365.0,-43.80356128942494
1370.0,-42.58933657909939
1375.0,-22.67417425400636
1380.0,-25.227931361289762
1385.0,-17.36487987369125
1390.0,-19.49179231822283
1395.0,-21.152730215944523
1400.0,-18.327757629833904
1405.0,-20.118725213503936
1410.0,-20.58103472390642
1415.0,-15.021742322304824
1420.0,-20.189315892699135
1425.0,-21.01829558743139
1430.0,-28.35237571854378
1435.0,-26.662285242134622
1440.0,-49.0544222034616
1445.0,-45.234000209463105
1450.0,-26.553510260844813
1455.0,-31.917412785326107
1460.0,-22.9793236866441
1465.0,-22.795658015150437
1470.0,-120.0
1475.0,-120.0
1480.0,-120.0
1485.0,-120.0
1490.0,-120.0
1495.0,-25.064631835562984
1500.0,-23.149450364516362
1505.0,-120.0
1510.0,-26.914249049134604
1515.0,-29.721544954986328
1520.0,-30.050697980245964
1525.0,-39.97126721124157
1530.0,-43.853895418241855
1535.0,-41.69525874743592
1540.0,-39.96622643621435
1545.0,-55.206474241671735
1550.0,-55.19544514499968
1555.0,-57.82127528417642
1560.0,-57.74520538036591
1565.0,-58.44833250546732
1570.0,-58.7762268601249
1575.0,-120.0
1580.0,-120.0
1585.0,-120.0
1590.0,-24.82891625901108
1595.0,-120.0
1600.0,-26.06962410645724
1605.0,-26.045318309786417
1610.0,-26.114889830253986
1615.0,-23.781678689958614
1620.0,-24.20347996453306
1625.0,-31.192128517657878
1630.0,-30.541427757635432
1635.0,-24.685290423480083
1640.0,-120.0
1645.0,-42.160757944404736
1650.0,-120.0
1655.0,-120.0
1660.0,-120.0
1665.0,-120.0
1670.0,-120.0
1675.0,-120.0
1680.0,-120.0
1685.0,-120.0
1690.0,-120.0
1695.0,-17.93808925916453
1700.0,-24.734569972572316
1705.0,-18.376806048063454
1710.0,-19.987587959474364
1715.0,-18.016330342823323
1720.0,-11.14392255682924
1725.0,-24.070292074008442
1730.0,-17.677522787711364
1735.0,-39.40281586151147
1740.0,-120.0
1745.0,-37.431351957841244
1750.0,-109.68451668104012
1755.0,-15.984490847101105
1760.0,-22.64564025984816
1765.0,-12.233363601203521
1770.0,-11.33109675757067
1775.0,-11.336328584466289
1780.0,-11.005252791949028
1785.0,-6.845519836690884
1790.0,-17.751710717981062
1795.0,-16.125446176997407
1800.0,-18.510141041014656
1805.0,-14.11386001379637
1810.0,-17.2539580050949
1815.0,-11.746856131697152
1820.0,-17.621219159381525
1825.0,-19.10134389636655
1830.0,-16.430302787953696
1835.0,-120.0
1840.0,-27.128650345674373
1845.0,-28.268621660754203
1850.0,-20.362271624608297
1855.0,-21.23401121095094
1860.0,-24.721605775519034
1865.0,-25.981207999278674
1870.0,-26.259648907475267
1875.0,-26.037390354262065
1880.0,-31.168930116214113
