threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.01872399445214979,0.18723994452149792,0.1622746185852982
-9.0,0.019417475728155338,0.1941747572815534,0.1650485436893204
-8.0,0.019972260748959778,0.19972260748959778,0.17059639389736478
-7.0,0.020249653259361997,0.20249653259361997,0.17337031900138697
-6.0,0.021359223300970873,0.21359223300970873,0.18307905686546463
-5.0,0.024549237170596393,0.24549237170596394,0.21359223300970873
-4.0,0.029264909847434118,0.2926490984743412,0.24549237170596394
-3.0,0.03217753120665742,0.3217753120665742,0.26490984743411927
-2.0,0.036754507628294034,0.36754507628294036,0.29680998613037446
-1.0,0.03952843273231623,0.39528432732316227,0.31345353675450766
0.0,0.04313453536754508,0.43134535367545074,0.3245492371705964
1.0,0.046463245492371706,0.4646324549237171,0.3356449375866852
2.0,0.05062413314840499,0.5062413314840499,0.34951456310679613
3.0,0.0550624133148405,0.550624133148405,0.3633841886269071
4.0,0.060332871012482664,0.6033287101248266,0.37586685159500693
5.0,0.06893203883495146,0.6893203883495146,0.39389736477115117
6.0,0.07420249653259361,0.7420249653259362,0.4077669902912621
7.0,0.08044382801664356,0.8044382801664355,0.4133148404993065
8.0,0.08876560332871013,0.8876560332871013,0.42163661581137307
9.0,0.09819694868238557,0.9819694868238558,0.44660194174757284
10.0,0.10929264909847435,1.0929264909847434,0.47018030513176146
11.0,0.11747572815533981,1.174757281553398,0.49514563106796117
12.0,0.12524271844660195,1.2524271844660195,0.5048543689320388
13.0,0.13356449375866852,1.3356449375866852,0.5228848821081831
14.0,0.1421636615811373,1.4216366158113731,0.5450762829403606
15.0,0.15048543689320387,1.5048543689320388,0.5728155339805825
16.0,0.15880721220527047,1.5880721220527045,0.5936199722607489
17.0,0.17018030513176144,1.7018030513176143,0.6393897364771152
18.0,0.1825242718446602,1.825242718446602,0.6685159500693482
19.0,0.1941747572815534,1.941747572815534,0.7031900138696255
20.0,0.20624133148404994,2.0624133148404993,0.7350901525658807
