esr_bps_hz,cdf,window_index,window_style
86.78584371217609,0.008333333333333333,4,solid
88.8336170554217,0.016666666666666666,4,solid
89.09121512244695,0.025,4,solid
91.0349950372473,0.03333333333333333,4,solid
91.27473753997262,0.041666666666666664,4,solid
91.60884336779856,0.05,4,solid
93.43490880980258,0.058333333333333334,4,solid
93.43979672146943,0.06666666666666667,4,solid
96.62062347370649,0.075,4,solid
97.3377089849202,0.08333333333333333,4,solid
97.88517241543347,0.09166666666666666,4,solid
97.9667891930429,0.1,4,solid
98.7434976018829,0.10833333333333334,4,solid
98.91473402160896,0.11666666666666667,4,solid
98.9764120688321,0.125,4,solid
99.14215551118542,0.13333333333333333,4,solid
99.7154570482596,0.14166666666666666,4,solid
99.80701644292459,0.15,4,solid
100.05046271381104,0.15833333333333333,4,solid
100.29798456859423,0.16666666666666666,4,solid
100.5823925503879,0.175,4,solid
101.77832345323498,0.18333333333333332,4,solid
101.95514055213192,0.19166666666666668,4,solid
101.99618035003495,0.2,4,solid
102.22543981682955,0.20833333333333334,4,solid
102.2310590519671,0.21666666666666667,4,solid
102.8930663868429,0.225,4,solid
103.05560791300186,0.23333333333333334,4,solid
103.42832713031552,0.24166666666666667,4,solid
104.53171296613199,0.25,4,solid
104.82345972606925,0.25833333333333336,4,solid
104.84808985514432,0.26666666666666666,4,solid
104.87087742764395,0.275,4,solid
104.89966697591066,0.2833333333333333,4,solid
104.9048017568215,0.2916666666666667,4,solid
105.27293587261771,0.3,4,solid
105.40057522909441,0.30833333333333335,4,solid
105.6874306823666,0.31666666666666665,4,solid
105.69712174369403,0.325,4,solid
106.03115338511498,0.3333333333333333,4,solid
106.28898423198154,0.3416666666666667,4,solid
106.35506725801663,0.35,4,solid
106.4885529168143,0.35833333333333334,4,solid
106.6542697732111,0.36666666666666664,4,solid
107.10048556217122,0.375,4,solid
107.37754558049105,0.38333333333333336,4,solid
107.58573037293259,0.39166666666666666,4,solid
107.63633725857994,0.4,4,solid
107.71641806552877,0.4083333333333333,4,solid
107.8159496673568,0.4166666666666667,4,solid
107.92530505285683,0.425,4,solid
108.01364211174011,0.43333333333333335,4,solid
108.01994642271083,0.44166666666666665,4,solid
108.1540454297685,0.45,4,solid
108.93510703134397,0.4583333333333333,4,solid
109.08490438929049,0.4666666666666667,4,solid
109.12129588289385,0.475,4,solid
109.21173425696952,0.48333333333333334,4,solid
109.34616663491789,0.49166666666666664,4,solid
109.57975130726332,0.5,4,solid
109.72176630223589,0.5083333333333333,4,solid
109.9513068324492,0.5166666666666667,4,solid
109.96592539114971,0.525,4,solid
110.1028313255252,0.5333333333333333,4,solid
110.25282436249421,0.5416666666666666,4,solid
110.79940867270336,0.55,4,solid
111.07051986202966,0.5583333333333333,4,solid
111.15064999082615,0.5666666666666667,4,solid
111.15374630068774,0.575,4,solid
111.59258059314179,0.5833333333333334,4,solid
111.63410021634795,0.5916666666666667,4,solid
111.65650441390521,0.6,4,solid
111.66792269435994,0.6083333333333333,4,solid
111.82908940213572,0.6166666666666667,4,solid
111.8731965057901,0.625,4,solid
112.05043746986186,0.6333333333333333,4,solid
112.14872747809959,0.6416666666666667,4,solid
112.30456454485474,0.65,4,solid
112.72693495302913,0.6583333333333333,4,solid
112.8380951815717,0.6666666666666666,4,solid
113.70584240928322,0.675,4,solid
113.72430410409744,0.6833333333333333,4,solid
114.19596647281364,0.6916666666666667,4,solid
114.23117333902837,0.7,4,solid
114.29483715730638,0.7083333333333334,4,solid
114.39825297718207,0.7166666666666667,4,solid
114.66505643178185,0.725,4,solid
114.72645587751765,0.7333333333333333,4,solid
115.02457724402485,0.7416666666666667,4,solid
115.46008070932311,0.75,4,solid
115.61902870585757,0.7583333333333333,4,solid
116.08416636506381,0.7666666666666667,4,solid
116.363042084548,0.775,4,solid
116.52165327074009,0.7833333333333333,4,solid
116.55709930399098,0.7916666666666666,4,solid
116.7301958593636,0.8,4,solid
117.13519284841847,0.8083333333333333,4,solid
117.19830859588426,0.8166666666666667,4,solid
117.28101447984878,0.825,4,solid
118.59843703542924,0.8333333333333334,4,solid
118.96893755553677,0.8416666666666667,4,solid
119.18952202459275,0.85,4,solid
120.23503509725631,0.8583333333333333,4,solid
120.26997451037435,0.8666666666666667,4,solid
120.75474873198085,0.875,4,solid
121.23585265102281,0.8833333333333333,4,solid
121.82088953983059,0.8916666666666667,4,solid
122.1231954678672,0.9,4,solid
122.65761182732392,0.9083333333333333,4,solid
122.83599457404452,0.9166666666666666,4,solid
123.22678525775673,0.925,4,solid
123.36540702756284,0.9333333333333333,4,solid
123.52680608567454,0.9416666666666667,4,solid
123.86979334993467,0.95,4,solid
125.89070808057592,0.9583333333333334,4,solid
126.17292977958897,0.9666666666666667,4,solid
126.45431209080135,0.975,4,solid
126.53596879623606,0.9833333333333333,4,solid
130.9619603264395,0.9916666666666667,4,solid
131.01078498444292,1.0,4,solid
