strategy,strategy_label,ue_id,mean_sinr_db,median_sinr_db,percentile_10_db,percentile_90_db,min_sinr_db,max_sinr_db,outage_at_0db
central_massive_mimo,Central massive MIMO,ue_000,10.174156798426433,15.012197076428341,-22.822860825350162,32.866183955266024,-120.0,45.65091683799602,0.14147018030513175
central_massive_mimo,Central massive MIMO,ue_001,-18.522407950884915,-6.400358982681675,-72.97979297474187,21.9234098485998,-120.0,35.52613622008172,0.5464632454923717
central_massive_mimo,Central massive MIMO,ue_002,16.134957111166454,20.35568377554707,3.307836802094158,34.983681160894456,-120.0,45.23907147725409,0.05409153952843273
central_massive_mimo,Central massive MIMO,ue_003,5.4921788382639,15.213015906846612,-32.121920013429055,36.16949333133339,-120.0,46.42846006795288,0.27184466019417475
central_massive_mimo,Central massive MIMO,ue_004,15.977644563040636,21.975543425240307,3.1386183119505535,33.05607610723014,-120.0,44.30723275771833,0.09292649098474341
central_massive_mimo,Central massive MIMO,ue_005,15.960827355073482,17.38585860321155,2.437017661391421,32.771473653822525,-120.0,43.73467537258488,0.07628294036061026
central_massive_mimo,Central massive MIMO,ue_006,4.232636535465101,14.434409737268384,-42.05146739713827,32.67346969705989,-120.0,44.5283961481485,0.2538141470180305
central_massive_mimo,Central massive MIMO,ue_007,14.137996702087277,15.374132472330624,-4.817730367928306,30.077214878528558,-120.0,43.89316116057767,0.14563106796116504
central_massive_mimo,Central massive MIMO,ue_008,10.22589254732724,12.370320274241784,-10.163330634056686,31.655680534874172,-120.0,46.41561860008213,0.231622746185853
central_massive_mimo,Central massive MIMO,ue_009,24.535518421561402,26.491844029938637,8.522290635776388,37.26389471855765,-39.00433924580795,45.61760545139337,0.024965325936199722
distributed_fixed,Distributed fixed,ue_000,14.618533227676748,14.810605295183866,5.183396902286091,27.400267784389936,-41.46616450083088,41.64803249658098,0.052704576976421634
distributed_fixed,Distributed fixed,ue_001,17.05006902254119,20.480273681974353,3.742733993734486,28.76295122727555,-42.13408463206208,37.13430739947255,0.08183079056865465
distributed_fixed,Distributed fixed,ue_002,18.098890515451977,16.431057144685347,7.670256686780716,32.503316615022506,-42.54823321948741,55.66911167169157,0.009708737864077669
distributed_fixed,Distributed fixed,ue_003,18.694412108693253,22.051263238976478,0.3179138298563449,37.24221618499105,-120.0,53.413957430637005,0.09847434119278779
distributed_fixed,Distributed fixed,ue_004,14.353809568504795,15.73696246544917,1.6756132770503833,29.228105059785605,-41.25647911877704,43.3326242378994,0.08876560332871013
distributed_fixed,Distributed fixed,ue_005,25.271442832570596,24.9985367155128,9.851081199181133,42.548540753567146,-11.82606832237556,53.151693543683685,0.004160887656033287
distributed_fixed,Distributed fixed,ue_006,15.81619306367734,18.197064651893832,1.2848438787983802,28.178514490996392,-81.54911360786868,38.03072151176848,0.09292649098474341
distributed_fixed,Distributed fixed,ue_007,34.788622981113434,34.093407925671876,23.774964836286756,47.23647670844545,2.410163516600757,72.96480373334721,0.0
distributed_fixed,Distributed fixed,ue_008,37.098364384119904,37.07242227590021,25.559930931158373,47.21526345423135,15.773900892077613,62.75515638972961,0.0
distributed_fixed,Distributed fixed,ue_009,17.650338042358662,15.953632555560077,9.335257023579636,28.966750649815722,-81.54911966949103,40.28698147497821,0.012482662968099861
distributed_movable,Distributed movable (Opt. 1),ue_000,18.353257632812266,21.779292578089198,-7.287439493787896,46.745115813893186,-120.0,77.19105982856195,0.1664355062413315
distributed_movable,Distributed movable (Opt. 1),ue_001,23.063974462237265,30.580512194403234,-42.27730151431412,63.96394876685574,-120.0,88.30361745406339,0.1900138696255201
distributed_movable,Distributed movable (Opt. 1),ue_002,19.310858471824755,23.279605981670613,-6.7102500005240495,42.73115750008656,-120.0,78.39694721708204,0.14285714285714285
distributed_movable,Distributed movable (Opt. 1),ue_003,35.391105064816024,36.61849751143612,4.910351492359435,64.08269492958334,-65.1202680517162,84.81680983814393,0.0651872399445215
distributed_movable,Distributed movable (Opt. 1),ue_004,22.48159522880652,26.0831657543645,2.3803738743342455,45.17230191980406,-120.0,76.32870574894996,0.08321775312066575
distributed_movable,Distributed movable (Opt. 1),ue_005,12.656257920440382,19.441016991560026,-21.039052301916495,41.101678155439174,-120.0,70.42308326007743,0.20804438280166435
distributed_movable,Distributed movable (Opt. 1),ue_006,33.93338880903531,32.99732127785053,11.019980670388714,62.531210203070195,-91.96733572385355,88.8636731909289,0.03744798890429958
distributed_movable,Distributed movable (Opt. 1),ue_007,18.442260838718685,19.09045253552598,-24.825759898341282,54.775779106684304,-120.0,66.00361140898985,0.2787794729542302
distributed_movable,Distributed movable (Opt. 1),ue_008,25.05131827161986,29.143292692684057,-10.498785417229557,55.943287305297424,-95.03069824616367,84.92802988360273,0.1664355062413315
distributed_movable,Distributed movable (Opt. 1),ue_009,19.368431973479304,23.684189062886844,-2.763102472158354,38.296597684201906,-78.81269702027248,62.68662877535199,0.1289875173370319
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_000,42.53909903089211,41.71457781405575,29.29915586999805,60.72348204919421,-31.262524558331208,83.37200309003418,0.005547850208044383
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_001,39.52236483031257,39.80804343811306,24.69121225714649,55.458844860114354,-36.307825335163145,72.12036932014927,0.006934812760055479
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_002,41.26228417499875,42.54390151525578,28.4281044177895,56.15356190069555,-75.3074436112109,82.45931733122995,0.023578363384188627
distributed_movable_optimization_2,Distributed movable (Opt. 2),ue_003,40.869056925894675,39.80171846035133,25.55144765078346,60.47057648375913,-24.016443296753344,79.44547498249256,0.011095700416088766
