strategy,strategy_label,mean_esr_bps_hz,median_esr_bps_hz,percentile_10_esr_bps_hz,percentile_90_esr_bps_hz,min_esr_bps_hz,max_esr_bps_hz
central_massive_mimo,Central massive MIMO,56.425375786845436,57.24385880389029,41.87428798919805,68.77955265573246,26.851455363998994,89.27099216372463
distributed_fixed,Distributed fixed,74.86268663805727,75.06772751374935,59.46717306646474,91.45379136109962,35.44083449657734,112.15371910575978
distributed_movable,Distributed movable (Opt. 1),89.877255671373,93.18963470543616,53.02823644400492,124.92286080524117,15.761352967630222,176.26744665262697
distributed_movable_optimization_2,Distributed movable (Opt. 2),133.11661806451434,132.54357732968927,112.26362823997972,155.8510514455646,76.73275625327143,190.00876495014282
distributed_movable_optimization_3,Distributed movable (Opt. 3),122.84399264895762,125.0719464123517,98.36330065300746,147.46292494265245,25.76779228087364,180.3451555105868
