strategy,strategy_label,threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
central_massive_mimo,Central massive MIMO,-10.0,0.5737704918032787,5.737704918032787,1.0
central_massive_mimo,Central massive MIMO,-9.0,0.5737704918032787,5.737704918032787,1.0
central_massive_mimo,Central massive MIMO,-8.0,0.5737704918032787,5.737704918032787,1.0
central_massive_mimo,Central massive MIMO,-7.0,0.5754098360655737,5.754098360655738,1.0
central_massive_mimo,Central massive MIMO,-6.0,0.5868852459016394,5.868852459016393,1.0
central_massive_mimo,Central massive MIMO,-5.0,0.5967213114754099,5.967213114754099,1.0
central_massive_mimo,Central massive MIMO,-4.0,0.601639344262295,6.016393442622951,1.0
central_massive_mimo,Central massive MIMO,-3.0,0.601639344262295,6.016393442622951,1.0
central_massive_mimo,Central massive MIMO,-2.0,0.6065573770491803,6.065573770491803,1.0
central_massive_mimo,Central massive MIMO,-1.0,0.6131147540983607,6.131147540983607,1.0
central_massive_mimo,Central massive MIMO,0.0,0.6213114754098361,6.213114754098361,1.0
central_massive_mimo,Central massive MIMO,1.0,0.6262295081967213,6.262295081967213,1.0
central_massive_mimo,Central massive MIMO,2.0,0.6295081967213115,6.295081967213115,1.0
central_massive_mimo,Central massive MIMO,3.0,0.6426229508196721,6.426229508196721,1.0
central_massive_mimo,Central massive MIMO,4.0,0.6442622950819672,6.442622950819672,1.0
central_massive_mimo,Central massive MIMO,5.0,0.6459016393442623,6.459016393442623,1.0
central_massive_mimo,Central massive MIMO,6.0,0.6524590163934426,6.524590163934426,1.0
central_massive_mimo,Central massive MIMO,7.0,0.6639344262295082,6.639344262295082,1.0
central_massive_mimo,Central massive MIMO,8.0,0.6688524590163935,6.688524590163935,1.0
central_massive_mimo,Central massive MIMO,9.0,0.6688524590163935,6.688524590163935,1.0
central_massive_mimo,Central massive MIMO,10.0,0.6704918032786885,6.704918032786885,1.0
central_massive_mimo,Central massive MIMO,11.0,0.6737704918032786,6.737704918032787,1.0
central_massive_mimo,Central massive MIMO,12.0,0.680327868852459,6.80327868852459,1.0
central_massive_mimo,Central massive MIMO,13.0,0.6934426229508197,6.934426229508197,1.0
central_massive_mimo,Central massive MIMO,14.0,0.7114754098360656,7.114754098360656,1.0
central_massive_mimo,Central massive MIMO,15.0,0.7180327868852459,7.180327868852459,1.0
central_massive_mimo,Central massive MIMO,16.0,0.7311475409836066,7.311475409836065,1.0
central_massive_mimo,Central massive MIMO,17.0,0.7426229508196721,7.426229508196721,1.0
central_massive_mimo,Central massive MIMO,18.0,0.7524590163934426,7.524590163934426,1.0
central_massive_mimo,Central massive MIMO,19.0,0.7655737704918033,7.655737704918033,1.0
central_massive_mimo,Central massive MIMO,20.0,0.7737704918032787,7.737704918032787,1.0
distributed_fixed,Distributed fixed,-10.0,0.13934426229508196,1.3934426229508197,0.9672131147540983
distributed_fixed,Distributed fixed,-9.0,0.14098360655737704,1.4098360655737705,0.9672131147540983
distributed_fixed,Distributed fixed,-8.0,0.14098360655737704,1.4098360655737705,0.9672131147540983
distributed_fixed,Distributed fixed,-7.0,0.14262295081967213,1.4262295081967213,0.9672131147540983
distributed_fixed,Distributed fixed,-6.0,0.14262295081967213,1.4262295081967213,0.9672131147540983
distributed_fixed,Distributed fixed,-5.0,0.15081967213114755,1.5081967213114753,0.9672131147540983
distributed_fixed,Distributed fixed,-4.0,0.1540983606557377,1.540983606557377,0.9672131147540983
distributed_fixed,Distributed fixed,-3.0,0.15737704918032788,1.5737704918032787,0.9672131147540983
distributed_fixed,Distributed fixed,-2.0,0.16885245901639345,1.6885245901639345,0.9672131147540983
distributed_fixed,Distributed fixed,-1.0,0.1737704918032787,1.7377049180327868,0.9672131147540983
distributed_fixed,Distributed fixed,0.0,0.18032786885245902,1.8032786885245902,0.9672131147540983
distributed_fixed,Distributed fixed,1.0,0.18688524590163935,1.8688524590163935,0.9672131147540983
distributed_fixed,Distributed fixed,2.0,0.2,2.0,0.9672131147540983
distributed_fixed,Distributed fixed,3.0,0.21147540983606558,2.1147540983606556,0.9672131147540983
distributed_fixed,Distributed fixed,4.0,0.21639344262295082,2.1639344262295084,0.9672131147540983
distributed_fixed,Distributed fixed,5.0,0.2278688524590164,2.278688524590164,0.9672131147540983
distributed_fixed,Distributed fixed,6.0,0.2360655737704918,2.360655737704918,0.9672131147540983
distributed_fixed,Distributed fixed,7.0,0.2459016393442623,2.459016393442623,0.9672131147540983
distributed_fixed,Distributed fixed,8.0,0.25245901639344265,2.5245901639344264,0.9672131147540983
distributed_fixed,Distributed fixed,9.0,0.26721311475409837,2.6721311475409837,0.9672131147540983
distributed_fixed,Distributed fixed,10.0,0.28032786885245903,2.80327868852459,0.9672131147540983
distributed_fixed,Distributed fixed,11.0,0.29508196721311475,2.9508196721311477,0.9672131147540983
distributed_fixed,Distributed fixed,12.0,0.3114754098360656,3.1147540983606556,0.9672131147540983
distributed_fixed,Distributed fixed,13.0,0.34098360655737703,3.4098360655737703,0.9836065573770492
distributed_fixed,Distributed fixed,14.0,0.36065573770491804,3.6065573770491803,1.0
distributed_fixed,Distributed fixed,15.0,0.3819672131147541,3.819672131147541,1.0
distributed_fixed,Distributed fixed,16.0,0.3950819672131147,3.9508196721311477,1.0
distributed_fixed,Distributed fixed,17.0,0.4081967213114754,4.081967213114754,1.0
distributed_fixed,Distributed fixed,18.0,0.43278688524590164,4.327868852459017,1.0
distributed_fixed,Distributed fixed,19.0,0.4540983606557377,4.540983606557377,1.0
distributed_fixed,Distributed fixed,20.0,0.4786885245901639,4.786885245901639,1.0
distributed_movable,Distributed movable,-10.0,0.12459016393442623,1.2459016393442623,0.8852459016393442
distributed_movable,Distributed movable,-9.0,0.12459016393442623,1.2459016393442623,0.8852459016393442
distributed_movable,Distributed movable,-8.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-7.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-6.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-5.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-4.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-3.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-2.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,-1.0,0.12786885245901639,1.278688524590164,0.8852459016393442
distributed_movable,Distributed movable,0.0,0.12950819672131147,1.2950819672131149,0.8852459016393442
distributed_movable,Distributed movable,1.0,0.12950819672131147,1.2950819672131149,0.8852459016393442
distributed_movable,Distributed movable,2.0,0.13114754098360656,1.3114754098360655,0.8852459016393442
distributed_movable,Distributed movable,3.0,0.13114754098360656,1.3114754098360655,0.8852459016393442
distributed_movable,Distributed movable,4.0,0.13278688524590163,1.3278688524590163,0.8852459016393442
distributed_movable,Distributed movable,5.0,0.1360655737704918,1.360655737704918,0.8852459016393442
distributed_movable,Distributed movable,6.0,0.14426229508196722,1.4426229508196722,0.9672131147540983
distributed_movable,Distributed movable,7.0,0.14590163934426228,1.459016393442623,0.9672131147540983
distributed_movable,Distributed movable,8.0,0.1540983606557377,1.540983606557377,0.9836065573770492
distributed_movable,Distributed movable,9.0,0.1557377049180328,1.5573770491803278,0.9836065573770492
