strategy,strategy_label,num_snapshots,num_users,mean_sinr_db,median_sinr_db,percentile_10_db,percentile_90_db,min_sinr_db,max_sinr_db,outage_at_0db,mean_worst_user_sinr_db,percentile_10_worst_user_sinr_db
central_massive_mimo,Central massive MIMO,721,10,9.107665945035412,16.432496779000868,-23.208172102567527,33.64798535820677,-120.0,46.49360191835097,0.20083217753120666,-50.193233858915406,-120.0
distributed_fixed,Distributed fixed,721,10,20.533438068832396,20.978681115870614,5.647331170174962,39.053194881197975,-120.0,72.99239931001483,0.05228848821081831,-4.272712709809375,-34.0977547078654
distributed_movable,Distributed movable,721,10,30.502063581208656,30.622758660635313,9.101473910814983,50.26914954038909,-120.0,89.04868130854184,0.04313453536754508,6.228217948798335,-20.860685294353015
