strategy,strategy_label,window_index,start_time_s,end_time_s,mean_esr_bps_hz,median_esr_bps_hz,percentile_10_esr_bps_hz,percentile_90_esr_bps_hz
central_massive_mimo,Central massive MIMO,0,0.0,595.0,51.20868682006164,50.951081062886274,37.35551426606468,66.13663104287932
central_massive_mimo,Central massive MIMO,1,600.0,1195.0,58.509282963857096,59.33421636068249,43.78663686084595,72.29747788245335
central_massive_mimo,Central massive MIMO,2,1200.0,1795.0,58.03816582508902,58.86474018785286,47.9327552759386,69.55070362773398
central_massive_mimo,Central massive MIMO,3,1800.0,2395.0,53.42221260457606,53.14283712276748,38.67874076188599,69.24749307375866
central_massive_mimo,Central massive MIMO,4,2400.0,2995.0,57.58671135667122,57.47880803664485,46.11266231642121,67.50599265864363
central_massive_mimo,Central massive MIMO,5,3000.0,3595.0,52.46676034340746,54.40924494527739,38.209886656764105,64.76168109809026
central_massive_mimo,Central massive MIMO,6,3600.0,3600.0,35.29930974912491,35.29930974912491,35.29930974912491,35.29930974912491
distributed_fixed,Distributed fixed,0,0.0,595.0,86.00982116547726,88.35447851664546,66.5289239287491,99.45743945061558
distributed_fixed,Distributed fixed,1,600.0,1195.0,66.43148786822368,67.16597772849954,54.716773734895774,78.0600275170389
distributed_fixed,Distributed fixed,2,1200.0,1795.0,65.63671916741478,66.60474440169133,50.44430041693784,79.1886801822896
distributed_fixed,Distributed fixed,3,1800.0,2395.0,72.50571031954671,73.66356661931982,56.00177687175829,83.62760474097378
distributed_fixed,Distributed fixed,4,2400.0,2995.0,66.09896641848687,67.45986744734685,53.107872097135626,78.68347032972731
distributed_fixed,Distributed fixed,5,3000.0,3595.0,79.50911147949314,78.87391089086553,65.21570528045251,91.96514740542968
distributed_fixed,Distributed fixed,6,3600.0,3600.0,62.66622954818757,62.66622954818757,62.66622954818757,62.66622954818757
distributed_movable,Distributed movable,0,0.0,595.0,70.45679809028226,70.22329143015665,58.91768083153617,80.73556298582398
distributed_movable,Distributed movable,1,600.0,1195.0,93.49647137970709,94.29702488695466,76.98344738481362,107.60730779443598
distributed_movable,Distributed movable,2,1200.0,1795.0,122.01691371586305,121.63303755621425,105.68433924115291,140.26158119851638
distributed_movable,Distributed movable,3,1800.0,2395.0,99.46797448428264,99.6551333841275,89.41579172449173,108.82860529445199
distributed_movable,Distributed movable,4,2400.0,2995.0,109.63833007471898,109.65075880474961,98.6658267609989,122.17663710381288
distributed_movable,Distributed movable,5,3000.0,3595.0,127.49703246145764,126.54322587952232,113.02253157392755,145.2765952326111
distributed_movable,Distributed movable,6,3600.0,3600.0,159.93532977854528,159.93532977854528,159.93532977854528,159.93532977854528
