scenario,output_dir,strategy,strategy_label,is_best_strategy,is_baseline_strategy,is_scene_animation_strategy,score,outage,percentile_10_db,peer_tiebreak,capped,evaluated_combinations,num_selected_sites,num_movable_sites,num_final_candidates,selected_site_ids,movable_site_ids,final_candidate_ids
rabot_outdoor,/home/dramco_spark/COCOON-Sionna/outputs/rabot,central_massive_mimo,Central massive MIMO,False,False,False,-7.191881188577857,0.6213114754098361,-120.0,-57.05697131680205,False,0,1,1,1,central_ap_01,central_ap_01,roof_Blok_A
rabot_outdoor,/home/dramco_spark/COCOON-Sionna/outputs/rabot,distributed_fixed,Distributed fixed,True,True,False,-0.9036380301809496,0.18032786885245902,-15.938483640186591,7.361402068083904,False,0,6,6,6,movable_ap_01 movable_ap_02 movable_ap_03 movable_ap_04 movable_ap_05 movable_ap_06,movable_ap_01 movable_ap_02 movable_ap_03 movable_ap_04 movable_ap_05 movable_ap_06,wall_Blok_B_04_02 wall_Blok_L_00_00 wall_Blok_P_00_00 wall_Blok_P_00_01 wall_building_452650244_00_00 wall_building_452653890_01_01
rabot_outdoor,/home/dramco_spark/COCOON-Sionna/outputs/rabot,distributed_movable,Distributed movable,False,False,True,-5.933512648864123,0.12950819672131147,-120.0,19.599554785718897,False,5511,6,6,6,movable_ap_01 movable_ap_02 movable_ap_03 movable_ap_04 movable_ap_05 movable_ap_06,movable_ap_01 movable_ap_02 movable_ap_03 movable_ap_04 movable_ap_05 movable_ap_06,wall_Blok_A_02_01 wall_Blok_D_02_00 wall_Blok_D_02_01 wall_Blok_E_07_01 wall_Blok_E_07_02 wall_Blok_L_1_00_00
