x_m,y_m
-3.395677881548181,46.765007817186415
-3.395677881548181,46.765007817186415
-19.43442881933879,42.26325835939497
-19.43442881933879,42.26325835939497
-8.954720064648427,50.06000768393278
-8.954720064648427,50.06000768393278
-15.82906920601024,26.331616492724358
-8.6735366114243,44.01637468332799
-9.814251594245434,54.9006470059976
-9.814251594245434,54.9006470059976
-9.814251594245434,54.9006470059976
-19.449967268201743,45.96233420104163
-19.413134054219086,49.13333256837551
-27.39567788154818,62.765007817186415
-27.39567788154818,62.765007817186415
-41.0169515800328,65.1437341187018
-45.583267910510244,72.95259784614848
-43.39567788154818,68.05735005645337
-43.39567788154818,78.76500781718642
-43.39567788154818,78.76500781718642
-40.73346433912963,73.42722135960497
-27.39567788154818,70.76500781718642
-27.39567788154818,70.76500781718642
-27.39567788154818,70.76500781718642
-27.39567788154818,86.76500781718642
-27.39567788154818,86.76500781718642
-19.39567788154818,94.76500781718642
-19.39567788154818,94.76500781718642
-10.41708291007894,85.78641284571718
-3.395677881548181,78.76500781718642
-3.395677881548181,78.76500781718642
4.604322118451819,63.09205182538884
4.604322118451819,70.76500781718642
4.604322118451819,70.76500781718642
28.60432211845182,54.9892684308397
28.60432211845182,54.765007817186415
28.60432211845182,54.765007817186415
0.761841401427084,69.42481279934921
13.174346734456618,70.76500781718642
4.604322118451819,78.76500781718642
4.604322118451819,78.76500781718642
-3.395677881548181,78.76500781718642
-3.395677881548181,78.76500781718642
-3.395677881548181,78.76500781718642
-5.3162799232378175,84.84440577549678
-19.39567788154818,93.03012644908608
-19.39567788154818,86.76500781718642
-19.39567788154818,86.76500781718642
-4.667020857536269,88.0363507931745
-17.262795119824606,80.89789057891
-11.395677881548181,86.76500781718642
-11.395677881548181,86.76500781718642
-30.167430427940122,73.53676036357835
-28.60690800493632,53.55377769379828
-43.39567788154818,46.765007817186415
-43.39567788154818,46.765007817186415
-35.39567788154818,46.765007817186415
-35.39567788154818,46.765007817186415
-10.20293001991467,29.572259955552905
-11.81032640981105,25.629728756969314
-20.358000229578465,44.28958357684314
nan,nan
-99.39567788154818,-89.23499218281358
-99.39567788154818,-89.23499218281358
-107.15392414688314,-82.22611217095255
-100.42645891635534,-86.10390491300642
-98.54606522619724,-84.71292452793568
-98.54606522619724,-84.71292452793568
-85.05243787462422,-74.73576059066241
-71.93547830343743,-65.03710413672825
-67.28093215630174,-51.10753578595199
-67.39567788154818,-49.234992182813585
-67.39567788154818,-49.234992182813585
-55.99550889064098,-42.88311621059355
-59.39567788154818,-41.234992182813585
-59.39567788154818,-41.234992182813585
-59.35476336063422,-48.4662567845383
-65.15882696074719,-58.67264193008766
-57.74029629431438,-47.57961059557979
-52.179302306420766,-34.99277588784284
-59.39567788154818,-41.33054778069136
-59.39567788154818,-54.796748391698976
-67.11767430751563,-63.67495365212981
-76.83411527122514,-74.67342957249055
-90.99172930782692,-81.23499218281358
-91.39567788154818,-81.23499218281358
-91.39567788154818,-81.23499218281358
-91.39567788154818,-81.23499218281358
-99.39567788154818,-85.68490130139368
-99.39567788154818,-81.23499218281358
-99.39567788154818,-81.23499218281358
-99.39567788154818,-81.23499218281358
-93.34101361175865,-83.18032791302406
-93.41484373234951,-71.21582633201226
-99.39567788154818,-59.88206744781352
-93.041576522628,-49.234992182813585
-99.39567788154818,-49.234992182813585
-99.39567788154818,-49.234992182813585
-103.21189789492642,-61.05121219619183
-107.39567788154818,-65.23499218281358
-107.39567788154818,-65.23499218281358
-99.39567788154818,-73.23499218281358
-99.39567788154818,-73.23499218281358
-91.39567788154818,-73.23499218281358
-91.39567788154818,-73.23499218281358
-83.39567788154818,-73.23499218281358
-83.39567788154818,-73.23499218281358
-93.32557789444319,-83.16489219570859
-103.30287522175128,-85.32779484261049
-99.59773209583975,-73.43704639710515
-107.39567788154818,-78.07292645252245
-107.39567788154818,-73.23499218281358
-107.39567788154818,-73.23499218281358
-93.13400432560093,-67.36727581382974
-83.7149979993754,-57.574464565298854
-91.39567788154818,-57.234992182813585
-91.39567788154818,-57.234992182813585
-91.38334550336003,-65.72676080837846
-91.38334550336003,-65.72676080837846
-91.38334550336003,-65.72676080837846
-96.5962534174597,-57.234992182813585
-94.30824614596577,-46.322423918396
-99.70815315258817,-32.99506064539855
nan,nan
91.19578634009432,-57.234992182813585
100.60432211845182,-81.23499218281358
100.60432211845182,-81.23499218281358
84.60432211845182,-81.23499218281358
84.60432211845182,-81.23499218281358
92.60432211845182,-81.23499218281358
92.60432211845182,-81.23499218281358
92.60432211845182,-81.23499218281358
92.60432211845182,-81.23499218281358
81.57319875386332,-54.20386881822508
64.04290486848916,-39.728686311388444
63.14669479499571,-37.86092315427959
63.14669479499571,-37.86092315427959
60.60432211845182,-33.234992182813585
60.60432211845182,-33.234992182813585
56.47317986346783,2.8961500721704043
44.60432211845182,22.765007817186415
44.60432211845182,22.765007817186415
44.60432211845182,22.765007817186415
36.60432211845182,30.765007817186415
36.60432211845182,30.765007817186415
44.60432211845182,14.765007817186415
44.60432211845182,14.765007817186415
36.60432211845182,6.765007817186415
36.60432211845182,6.765007817186415
41.913323478937386,6.765007817186415
47.575704520752794,6.147772330450308
69.38456677699926,-0.45474752426614007
68.60432211845182,-1.2349921828135848
68.60432211845182,-1.2349921828135848
68.60432211845182,-1.2349921828135848
60.60432211845182,6.765007817186415
60.60432211845182,6.765007817186415
60.60432211845182,6.765007817186415
50.34448198167938,17.13380396436199
20.839339250044617,48.45004660482737
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
-11.395677881548181,70.76500781718642
-11.395677881548181,70.76500781718642
-11.395677881548181,62.765007817186415
-11.395677881548181,62.765007817186415
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
4.604322118451819,78.76500781718642
4.604322118451819,78.76500781718642
4.604322118451819,78.76500781718642
-3.395677881548181,86.76500781718642
-3.395677881548181,86.76500781718642
-27.39567788154818,94.76500781718642
-27.39567788154818,94.76500781718642
-35.39567788154818,86.76500781718642
-35.39567788154818,86.76500781718642
-43.39567788154818,78.76500781718642
-43.39567788154818,78.76500781718642
-43.39567788154818,78.76500781718642
-43.78179637714244,63.151126312780676
-43.39567788154818,78.76500781718642
-43.39567788154818,78.76500781718642
-35.39567788154818,70.76500781718642
nan,nan
72.83074571472929,32.12102178799046
59.41668181515356,21.401168010224644
60.60432211845182,14.765007817186415
60.60432211845182,14.765007817186415
38.36382107746372,29.849867983509586
10.573035365888678,59.346522055944995
-3.395677881548181,47.44731387142326
-3.395677881548181,46.765007817186415
-3.395677881548181,46.765007817186415
-3.395677881548181,46.765007817186415
-15.889483331123062,32.322812209561334
-15.89169809478335,31.698684819042683
-15.89169809478335,31.698684819042683
-3.395677881548181,38.765007817186415
-3.395677881548181,38.765007817186415
-10.911890945150374,60.359157443938095
4.604322118451819,70.76500781718642
4.604322118451819,70.76500781718642
-27.39567788154818,84.37144028931515
-11.395677881548181,94.76500781718642
-11.395677881548181,94.76500781718642
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
-11.401302496136818,46.14590706974957
-11.432963887986602,36.294716801851116
-1.8469869540957236,21.216316889733957
-3.395677881548181,22.765007817186415
-3.395677881548181,22.765007817186415
-3.395677881548181,22.765007817186415
9.196085355966742,7.374821482686905
12.604322118451819,20.777295468684056
4.604322118451819,22.765007817186415
4.604322118451819,22.765007817186415
4.604322118451819,22.765007817186415
-11.944379020502948,15.313708956141182
-9.354217121770985,20.02609011649348
-18.59397278869144,39.7569827676138
-18.41782747943724,31.77754453669919
-29.646701822639443,40.90835948847234
-29.646701822639443,40.90835948847234
-24.84312343795318,38.42999663203955
-24.84312343795318,38.42999663203955
-3.395677881548181,65.61338270393017
-3.395677881548181,70.76500781718642
-3.395677881548181,70.76500781718642
-3.395677881548181,70.76500781718642
-11.395677881548181,94.76500781718642
-11.395677881548181,94.76500781718642
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
0.2629905309295282,70.28942338749766
-19.39567788154818,70.76500781718642
-19.39567788154818,70.76500781718642
-31.95461028315194,59.32394021879017
-29.646701822639443,40.90835948847234
-29.646701822639443,40.90835948847234
-13.648751260186401,45.14422777320487
-9.757757092243992,41.010631926357746
-9.757757092243992,41.010631926357746
-9.757757092243992,41.010631926357746
-18.794438364076747,43.80593016502036
nan,nan
-88.83456251393298,69.33131232908197
-91.39567788154818,67.82898366604653
-93.74725798954432,66.63625046856535
-94.64023961089114,58.00956954652938
-91.39567788154818,54.765007817186415
-91.39567788154818,54.765007817186415
-97.14586170089972,46.765007817186415
-97.40982693797706,52.77915687361529
-94.33602967890744,51.82465601982716
-105.36773619148384,46.765007817186415
-100.27342967980546,53.88725601892914
-91.39567788154818,62.765007817186415
-91.39567788154818,62.765007817186415
-91.39567788154818,62.765007817186415
-91.39567788154818,48.304007870217475
-101.1819034919071,48.55123342754533
-107.39567788154818,54.765007817186415
-107.39567788154818,54.765007817186415
-99.39567788154818,48.37123839684493
-91.90419083352265,38.25649486521195
-99.39567788154818,30.765007817186415
-99.39567788154818,30.765007817186415
-93.30313834087809,22.765007817186415
-103.7968447333949,27.166174669033136
-100.89180816218436,37.268877536550235
-91.42043724876038,46.740248449974224
-79.61480697861894,54.765007817186415
-81.26195440597351,60.63128434161174
-92.74547697791584,61.41520872081875
-101.45661695088322,56.82594688652145
-100.7518717340717,62.765007817186415
-91.42104371014028,54.79037364577851
-86.51965111718694,51.64103458154766
-91.39567788154818,41.19396870316309
-98.33436678048207,31.82631891825252
-91.39567788154818,30.765007817186415
-91.39567788154818,30.765007817186415
-87.54673264559925,26.613953053135344
-98.63529306769264,22.004623003330874
-91.39567788154818,19.04456340602524
-99.20605130942833,30.575381245066573
-107.39567788154818,22.765007817186415
-107.39567788154818,22.765007817186415
