time_s,x_m,y_m
0.0,-3.395677881548181,46.765007817186415
0.0,-99.39567788154818,-89.23499218281358
0.0,91.19578634009432,-57.234992182813585
0.0,72.83074571472929,32.12102178799046
0.0,-88.83456251393298,69.33131232908197
0.0,-19.39567788154818,-45.441448364514756
0.0,-74.16223693234109,-8.001551233606488
0.0,51.39653846298708,-0.027208527348848932
0.0,36.60432211845182,-78.61427037611361
0.0,34.81872580723626,36.97941150597086
10.0,-3.395677881548181,46.765007817186415
10.0,-99.39567788154818,-89.23499218281358
10.0,100.60432211845182,-81.23499218281358
10.0,59.41668181515356,21.401168010224644
10.0,-91.39567788154818,67.82898366604653
10.0,-23.232108895629196,-45.0714231968946
10.0,-67.39567788154818,18.16446029307795
10.0,45.42164576947964,7.4759715544219265
10.0,36.60432211845182,-73.23499218281358
10.0,28.60432211845182,30.765007817186415
20.0,-19.43442881933879,42.26325835939497
20.0,-107.15392414688314,-82.22611217095255
20.0,100.60432211845182,-81.23499218281358
20.0,60.60432211845182,14.765007817186415
20.0,-93.74725798954432,66.63625046856535
20.0,-23.660850916701513,-49.234992182813585
20.0,-56.63363008924938,5.844102659552646
20.0,53.64937381407267,14.778216423756039
20.0,36.60432211845182,-73.23499218281358
20.0,28.60432211845182,30.765007817186415
30.0,-19.43442881933879,42.26325835939497
30.0,-100.42645891635534,-86.10390491300642
30.0,84.60432211845182,-81.23499218281358
30.0,60.60432211845182,14.765007817186415
30.0,-94.64023961089114,58.00956954652938
30.0,-15.471302521367207,-42.36689136875198
30.0,-67.39567788154818,-1.2349921828135848
30.0,60.32324692963264,22.442232032130704
30.0,36.60432211845182,-64.06408605424359
30.0,28.60432211845182,38.765007817186415
40.0,-8.954720064648427,50.06000768393278
40.0,-98.54606522619724,-84.71292452793568
40.0,84.60432211845182,-81.23499218281358
40.0,38.36382107746372,29.849867983509586
40.0,-91.39567788154818,54.765007817186415
40.0,-6.371864021725093,-38.54958622184289
40.0,-67.39567788154818,-1.2349921828135848
40.0,68.60432211845182,25.516686802732032
40.0,32.25399850315341,-57.234992182813585
40.0,28.60432211845182,38.765007817186415
50.0,-8.954720064648427,50.06000768393278
50.0,-98.54606522619724,-84.71292452793568
50.0,92.60432211845182,-81.23499218281358
50.0,10.573035365888678,59.346522055944995
50.0,-91.39567788154818,54.765007817186415
50.0,4.6691496135562645,-35.39528532970986
50.0,-67.39567788154818,-1.2349921828135848
50.0,72.52829946710402,34.688985165838616
50.0,24.606746924338477,-61.23256737692692
50.0,36.60432211845182,33.68862674116668
60.0,-15.82906920601024,26.331616492724358
60.0,-85.05243787462422,-74.73576059066241
60.0,92.60432211845182,-81.23499218281358
60.0,-3.395677881548181,47.44731387142326
60.0,-97.14586170089972,46.765007817186415
60.0,14.43431854297086,-32.60547978436988
60.0,-48.67970125898594,5.4939544131878755
60.0,76.60432211845182,38.765007817186415
60.0,26.285365569702474,-65.23499218281358
60.0,36.60432211845182,30.765007817186415
70.0,-8.6735366114243,44.01637468332799
70.0,-71.93547830343743,-65.03710413672825
70.0,92.60432211845182,-81.23499218281358
70.0,-3.395677881548181,46.765007817186415
70.0,-97.40982693797706,52.77915687361529
70.0,24.024081839227723,-29.075799756680805
70.0,-55.098926515982654,2.468256451620892
70.0,76.60432211845182,38.765007817186415
70.0,22.749177543631745,-59.37984760799351
70.0,36.60432211845182,30.765007817186415
80.0,-9.814251594245434,54.9006470059976
80.0,-67.28093215630174,-51.10753578595199
80.0,92.60432211845182,-81.23499218281358
80.0,-3.395677881548181,46.765007817186415
80.0,-94.33602967890744,51.82465601982716
80.0,20.848030353086873,-18.07882407338449
80.0,-40.1213881369988,13.053537646428934
80.0,76.60432211845182,38.765007817186415
80.0,20.60432211845182,-57.234992182813585
80.0,36.60432211845182,30.765007817186415
90.0,-9.814251594245434,54.9006470059976
90.0,-67.39567788154818,-49.234992182813585
90.0,81.57319875386332,-54.20386881822508
90.0,-3.395677881548181,46.765007817186415
90.0,-105.36773619148384,46.765007817186415
90.0,21.950898400037296,-8.78435535625995
90.0,-35.39567788154818,14.765007817186415
90.0,87.57921722544508,41.73990292417967
90.0,20.60432211845182,-57.234992182813585
90.0,44.60432211845182,25.818662939042486
100.0,-9.814251594245434,54.9006470059976
100.0,-67.39567788154818,-49.234992182813585
100.0,64.04290486848916,-39.728686311388444
100.0,-15.889483331123062,32.322812209561334
100.0,-100.27342967980546,53.88725601892914
100.0,30.73219006758475,-3.9659995753814963
100.0,-35.39567788154818,14.765007817186415
100.0,92.60432211845182,46.765007817186415
100.0,12.099282870657907,-55.01904466620759
100.0,49.38011616456536,19.54080186329995
110.0,-19.449967268201743,45.96233420104163
110.0,-55.99550889064098,-42.88311621059355
110.0,63.14669479499571,-37.86092315427959
110.0,-15.89169809478335,31.698684819042683
110.0,-91.39567788154818,62.765007817186415
110.0,28.784421313111068,5.856753247126539
110.0,-19.40147628493189,32.48552088479074
110.0,92.60432211845182,46.765007817186415
110.0,12.604322118451819,-45.50085525417761
110.0,39.941695134031846,10.102380832766443
120.0,-19.413134054219086,49.13333256837551
120.0,-59.39567788154818,-41.234992182813585
120.0,63.14669479499571,-37.86092315427959
120.0,-15.89169809478335,31.698684819042683
120.0,-91.39567788154818,62.765007817186415
120.0,34.629201696099784,4.789887394834381
120.0,-7.325931055649305,57.3162873260887
120.0,92.60432211845182,46.765007817186415
120.0,16.385174255059326,-45.01584431942109
120.0,36.60432211845182,6.765007817186415
130.0,-27.39567788154818,62.765007817186415
130.0,-59.39567788154818,-41.234992182813585
130.0,60.60432211845182,-33.234992182813585
130.0,-3.395677881548181,38.765007817186415
