time_s,worst_user_sinr_db
0.0,-120.0
5.0,-120.0
10.0,-120.0
15.0,-120.0
20.0,-120.0
25.0,-120.0
30.0,-120.0
35.0,-120.0
40.0,-120.0
45.0,-120.0
50.0,-120.0
55.0,-16.846970512772558
60.0,-46.82481585692592
65.0,-46.23781272993118
70.0,-46.68259344380593
75.0,-120.0
80.0,-120.0
85.0,-46.79125567698512
90.0,-45.982815839157084
95.0,-80.94752779064271
100.0,-79.28559017194561
105.0,-24.867931113902895
110.0,-6.7102500005240495
115.0,-10.90193761047076
120.0,-5.974147519736979
125.0,-16.427395083173298
130.0,-11.376458380274546
135.0,-12.000565660631475
140.0,-11.176434655122332
145.0,-9.308330909556616
150.0,-8.094824089825796
155.0,-7.212466352145974
160.0,-6.107785105990376
165.0,-7.775940747435208
170.0,-9.278034278576309
175.0,-5.560722907236231
180.0,-40.22479290156696
185.0,-52.42719527467082
190.0,-51.45751969616665
195.0,-51.276298892113
200.0,-48.382381708683724
205.0,-50.19049270884867
210.0,-49.812739405058544
215.0,-45.93240140219127
220.0,-51.17654770537814
225.0,-47.773246628896985
230.0,-47.76980164874713
235.0,-55.52915943580142
240.0,-10.916741536043919
245.0,-7.861989476470286
250.0,-7.561940529447792
255.0,-9.052497563966156
260.0,-20.84969080518099
265.0,-19.409642976555887
270.0,-19.021772125143414
275.0,-14.740407337720294
280.0,-14.433221894328039
285.0,-11.038750941220435
290.0,-18.322896185470004
295.0,-13.379392515399369
300.0,-43.24056576864987
305.0,-43.39005980703425
310.0,-60.2538225908045
315.0,-48.0613521841573
320.0,-49.716502340333065
325.0,-52.19324032806454
330.0,-50.92912160651448
335.0,-47.03181275275689
340.0,-48.86259013048778
345.0,-53.85148710659615
350.0,-44.52400449488237
355.0,-42.390432785370926
360.0,0.06359241435760343
365.0,0.5434421624296291
370.0,-0.4289831887503337
375.0,6.886152289004168
380.0,7.763815639045426
385.0,5.367967062340254
390.0,6.393392006772861
395.0,8.370745774739369
400.0,13.144261774940665
405.0,6.061643109476858
410.0,8.225520741409975
415.0,5.2333677703797825
420.0,-18.032286475935194
425.0,-18.108514295556862
430.0,-16.070538468787483
435.0,-15.338688386305808
440.0,-21.782256764036624
445.0,-31.699528022860406
450.0,-44.34172321034233
455.0,-27.881671593033623
460.0,-29.458963503263433
465.0,-29.080820332092863
470.0,-19.128393747526665
475.0,-13.738145635158503
480.0,3.683487775190496
485.0,-0.13096023892976563
490.0,1.4947049381645952
495.0,1.7450369930222105
500.0,1.7692102505351615
505.0,1.493306489154713
510.0,1.939435228343548
515.0,1.1399506577939518
520.0,2.2616108937854325
525.0,2.581140228752699
530.0,4.603517023145858
535.0,4.656601114195592
540.0,6.127163054444162
545.0,5.719581796106716
550.0,5.985159419964418
555.0,7.165118466463268
560.0,7.444185180725242
565.0,19.148821678961607
570.0,13.215036922346194
575.0,7.025173577633657
580.0,3.176284592820693
585.0,8.780098966335785
590.0,3.605220280915754
595.0,3.6570191271919894
600.0,7.856422607771685
605.0,3.248101593839344
610.0,3.27929407153672
615.0,3.963647033869707
620.0,4.212092559883562
625.0,3.8374382721282214
630.0,2.96988349591719
635.0,15.20460588471586
640.0,19.572647207541653
645.0,20.598652945294376
650.0,14.002749206622207
655.0,15.752200247004902
660.0,-3.580037608059707
665.0,-4.137810384872573
670.0,-7.3003016924637
675.0,-4.803376379762113
680.0,-2.630923675526563
685.0,-10.532211942728916
690.0,-14.004869987721873
695.0,-11.896486852435082
700.0,-11.405390373945817
705.0,-7.089365497803753
710.0,1.5173522368394772
715.0,1.554572260738257
720.0,4.405589927688798
725.0,4.645135772249359
730.0,4.926499393825335
735.0,0.762741489081818
740.0,3.627819106898924
745.0,-0.430469434697549
750.0,-0.8072593038109838
755.0,4.846912103572292
760.0,5.7185989589161945
765.0,4.371052352719998
770.0,1.6363962223160498
775.0,-2.2583425086209385
780.0,-6.416910189520819
785.0,-6.7126120011258505
790.0,-6.243888759961484
795.0,-10.415984761244266
800.0,-7.541995062491827
805.0,-7.485401762634299
810.0,-6.235315927097287
815.0,-7.414778851874272
820.0,-6.102948762638237
825.0,-10.834245282993598
830.0,-13.669725149512345
835.0,-8.621086113931055
840.0,10.804641895296141
845.0,4.240548870345489
850.0,7.438234929762713
855.0,7.47082760004948
860.0,-54.88751422657178
865.0,-53.66706083843776
870.0,10.615479331492095
875.0,5.180292867517082
880.0,10.568678223145447
885.0,8.34853306018663
890.0,7.028696039417253
895.0,7.578546364974245
900.0,-38.27223419631952
905.0,-120.0
910.0,-120.0
915.0,-38.27674793483187
920.0,-120.0
925.0,-120.0
930.0,-120.0
935.0,-38.81707557529941
940.0,-38.53266658891491
945.0,-74.1554128135511
950.0,-120.0
955.0,-120.0
960.0,-120.0
965.0,-120.0
970.0,-120.0
975.0,-120.0
980.0,-120.0
985.0,-120.0
990.0,-120.0
995.0,-120.0
1000.0,-120.0
1005.0,-120.0
1010.0,-120.0
1015.0,-120.0
1020.0,-86.77553147677457
1025.0,-60.725263574322895
1030.0,-60.315202269418336
1035.0,-59.5903230116896
1040.0,-67.27587304180416
1045.0,-67.13889285972077
1050.0,-50.16493228033282
1055.0,-51.610398435612524
1060.0,-52.76328218968935
1065.0,-51.84115573884397
1070.0,-49.12940562373963
1075.0,-66.73468498358542
1080.0,-8.426143455802977
1085.0,-7.760759009281384
1090.0,-8.639397796887147
1095.0,-7.403952745567841
1100.0,-7.162860625648868
1105.0,-7.1088577799678
1110.0,-2.8019117801138864
1115.0,-2.608901930712543
1120.0,-3.732248972876256
1125.0,-4.845477797883504
1130.0,-78.81269702027248
1135.0,-61.32337067500628
1140.0,-36.246196578147526
1145.0,12.573372232117702
1150.0,11.313204268794127
1155.0,12.613683010449684
1160.0,13.551289658287489
1165.0,14.420419102166843
1170.0,13.920990739033162
1175.0,15.524004696335718
1180.0,8.718564093995528
1185.0,8.882851098664373
1190.0,11.290355948249161
1195.0,10.054435520909157
1200.0,-40.16608659197024
1205.0,-36.91359420704715
1210.0,-28.6579886292845
1215.0,-37.85473874429618
1220.0,-34.46847323609998
1225.0,-40.75277284958002
1230.0,-52.3197132219073
1235.0,-52.463418900770904
1240.0,-52.571897451519185
1245.0,-60.87545353033239
1250.0,-35.95690980681687
1255.0,-33.296400536879254
1260.0,-18.174434287533717
1265.0,-18.66636833102422
1270.0,-18.671918780524056
1275.0,-31.051714064403114
1280.0,-14.612635585213942
1285.0,-14.784379600663929
1290.0,-31.44696791968053
1295.0,-39.88170663959968
1300.0,-31.84722328224082
1305.0,-60.60343306668904
1310.0,-62.867615977029686
1315.0,-68.27564369411168
1320.0,-1.029661440295375
1325.0,-2.7699846670495654
1330.0,0.762398366518603
1335.0,1.55190034512702
1340.0,2.9468173541346254
1345.0,1.2694696292643841
1350.0,4.001259707551536
1355.0,2.460486130973162
1360.0,-1.0036554537828954
1365.0,4.426580608798706
1370.0,1.518217984758423
1375.0,9.160539685442389
1380.0,29.124465948696457
1385.0,29.681064154748995
1390.0,29.143292692684057
1395.0,31.989727287639266
1400.0,33.6021510769256
1405.0,33.03113799642046
1410.0,33.601458914146036
1415.0,32.311303570289255
1420.0,29.871672086375085
1425.0,31.136915337855346
1430.0,29.260070157119618
1435.0,29.04578237530456
1440.0,-31.5116327275667
1445.0,-71.82046098883764
1450.0,-32.635460918047336
1455.0,-32.32671952149463
1460.0,-44.29386797194026
1465.0,-42.48832480190749
1470.0,-76.7670587072703
1475.0,-93.66304390292484
1480.0,-95.03069824616367
1485.0,-72.34490775863233
1490.0,-75.31601524030151
1495.0,-73.51047614427685
1500.0,9.199717537729626
1505.0,16.90665417348614
1510.0,19.245797344692622
1515.0,16.115284730595107
1520.0,16.426775834847803
1525.0,19.965319038734098
1530.0,20.676479388170073
1535.0,13.835859528834868
1540.0,13.837804242280436
1545.0,14.226959465025235
1550.0,14.26581194982473
1555.0,15.347248353118434
1560.0,2.4895005913550756
1565.0,7.9709319490697155
1570.0,10.026348827302595
1575.0,6.552135460578942
1580.0,-8.307789845089966
1585.0,20.04491108751339
1590.0,11.619256346143025
1595.0,12.151588487941982
1600.0,10.525196300009016
1605.0,17.269602269888466
1610.0,16.43011265385682
1615.0,3.7129390547051297
1620.0,17.673924278080896
1625.0,19.246213359369353
1630.0,18.561080264797635
1635.0,17.775710503591394
1640.0,10.986126860518052
1645.0,18.190869881813803
1650.0,19.502335676546707
1655.0,17.401110522031395
1660.0,13.064035393049016
1665.0,13.379836692806158
1670.0,12.850379462590087
1675.0,17.89834914111919
1680.0,-4.416083391868427
1685.0,-11.874021502509247
1690.0,-11.966969483244208
1695.0,-11.521671567637615
1700.0,-0.8373950141421554
1705.0,-7.272425076113382
1710.0,1.0242145325808234
1715.0,7.608813351960655
1720.0,0.019590191575252006
1725.0,-4.857551387680477
1730.0,-6.10612521519858
1735.0,-5.555323222561476
1740.0,3.6749975276307127
1745.0,0.04594248629994377
1750.0,-91.96733572385355
1755.0,-1.0567617305888068
1760.0,5.424278327141608
1765.0,-0.2846484709273569
1770.0,-1.8732803456390141
1775.0,8.631124043531806
1780.0,1.5230892474276838
1785.0,4.294608682845842
1790.0,8.697073728930055
1795.0,8.935634980047745
1800.0,2.9847631300288957
1805.0,3.0664695634149757
