esr_bps_hz,cdf,window_index,window_style
53.83148290213888,0.08333333333333333,29,dashed
56.91594275235862,0.16666666666666666,29,dashed
58.42188934924335,0.25,29,dashed
59.41192264556916,0.3333333333333333,29,dashed
59.679880237515846,0.4166666666666667,29,dashed
60.430415099236406,0.5,29,dashed
61.5354508217,0.5833333333333334,29,dashed
63.137266731239166,0.6666666666666666,29,dashed
63.76175979335492,0.75,29,dashed
67.21954224065996,0.8333333333333334,29,dashed
68.79563190251459,0.9166666666666666,29,dashed
76.4579989820413,1.0,29,dashed
