esr_bps_hz,cdf
76.73275625327143,0.0013869625520110957
81.52177762614072,0.0027739251040221915
81.58988800975317,0.004160887656033287
84.13259214370217,0.005547850208044383
89.32314938689524,0.006934812760055479
89.91124241079729,0.008321775312066574
90.21164256050098,0.009708737864077669
91.81004901419185,0.011095700416088766
92.65429952090474,0.012482662968099861
93.16261140369986,0.013869625520110958
93.31892942772694,0.015256588072122053
94.93363128689286,0.016643550624133148
95.28390156472545,0.018030513176144243
96.7092182151251,0.019417475728155338
97.00239098645335,0.020804438280166437
97.16235215671016,0.022191400832177532
98.32053278150278,0.023578363384188627
99.06568839408136,0.024965325936199722
99.47569690570597,0.026352288488210817
99.89406630896106,0.027739251040221916
100.29347715457251,0.02912621359223301
101.27427460235322,0.030513176144244106
101.58198822392089,0.0319001386962552
101.987091038532,0.033287101248266296
102.79111256028318,0.03467406380027739
102.85373898552535,0.036061026352288486
103.05654015447175,0.03744798890429958
103.57290961073598,0.038834951456310676
103.70155406107193,0.04022191400832178
103.79187322622295,0.04160887656033287
103.82867260215484,0.04299583911234397
104.0139415728824,0.044382801664355064
104.37360777254506,0.04576976421636616
104.72466170058283,0.047156726768377254
105.14654448345064,0.04854368932038835
105.30206457642322,0.049930651872399444
105.81509270012148,0.05131761442441054
106.33958040629362,0.052704576976421634
106.73623179821932,0.05409153952843273
106.79771490005382,0.05547850208044383
106.94360761341358,0.056865464632454926
107.40894147168721,0.05825242718446602
107.53873904157034,0.059639389736477116
107.70076393209108,0.06102635228848821
107.79131211561642,0.06241331484049931
108.00034032571274,0.0638002773925104
108.28508943086781,0.0651872399445215
108.35465087231421,0.06657420249653259
108.70606917518386,0.06796116504854369
108.99236990710233,0.06934812760055478
109.27736134354376,0.07073509015256588
109.34244210291018,0.07212205270457697
109.46603087429261,0.07350901525658807
109.8242135686852,0.07489597780859916
110.13137752706562,0.07628294036061026
110.38927088342086,0.07766990291262135
110.50703556004463,0.07905686546463246
110.53546385136977,0.08044382801664356
110.54383297268873,0.08183079056865465
110.99090022535384,0.08321775312066575
111.02544749379261,0.08460471567267684
111.18456970049385,0.08599167822468794
111.26263599775123,0.08737864077669903
111.33458806935869,0.08876560332871013
111.58002101397865,0.09015256588072122
111.59474957689429,0.09153952843273232
111.6862660880967,0.09292649098474341
111.79183827382084,0.09431345353675451
111.81756209246133,0.0957004160887656
111.93099478362709,0.0970873786407767
112.04888477177235,0.09847434119278779
112.10381848485582,0.09986130374479889
112.26362823997972,0.10124826629680998
112.37027836010776,0.10263522884882108
112.54712395263064,0.10402219140083217
112.62256462698953,0.10540915395284327
112.74572631279614,0.10679611650485436
112.76297839513443,0.10818307905686546
112.79400363941384,0.10957004160887657
112.90307371964136,0.11095700416088766
112.9037752392084,0.11234396671289876
113.03579433812888,0.11373092926490985
113.84797747616335,0.11511789181692095
113.9106517998628,0.11650485436893204
114.13388584046147,0.11789181692094314
114.26687159351877,0.11927877947295423
114.40274964895258,0.12066574202496533
114.48279300335092,0.12205270457697642
114.51627668491146,0.12343966712898752
114.53633975187543,0.12482662968099861
114.74628609638442,0.1262135922330097
114.76189163965661,0.1276005547850208
114.78065756076047,0.1289875173370319
114.8285464741878,0.130374479889043
114.95967724330075,0.1317614424410541
