time_s,esr_bps_hz,window_mean_esr_bps_hz
0.0,142.76383593803092,126.14525336050231
5.0,130.74439926483075,126.14525336050231
10.0,122.82618555640764,126.14525336050231
15.0,119.45966529482958,126.14525336050231
20.0,116.39631065341483,126.14525336050231
25.0,120.90302056763548,126.14525336050231
30.0,117.02966521662623,126.14525336050231
35.0,134.8779684506655,126.14525336050231
40.0,127.27823736552918,126.14525336050231
45.0,123.20242309634818,126.14525336050231
50.0,125.36223437884098,126.14525336050231
55.0,132.89909454286854,126.14525336050231
60.0,127.867885349858,129.56029454465073
65.0,122.53008037275906,129.56029454465073
70.0,125.43538052249161,129.56029454465073
75.0,126.32527368497543,129.56029454465073
80.0,127.57440564831991,129.56029454465073
85.0,123.05117378219067,129.56029454465073
90.0,123.58421314463526,129.56029454465073
95.0,135.17984147967277,129.56029454465073
100.0,134.02936960928486,129.56029454465073
105.0,127.96322033615726,129.56029454465073
110.0,139.01629042053008,129.56029454465073
115.0,142.16640018493374,129.56029454465073
120.0,145.9882788931249,152.38574748529336
125.0,150.56004343493635,152.38574748529336
130.0,153.63891966457408,152.38574748529336
135.0,154.9613486938826,152.38574748529336
140.0,155.03043258913647,152.38574748529336
145.0,155.69310165276912,152.38574748529336
150.0,133.43686907902227,152.38574748529336
155.0,155.74075697096475,152.38574748529336
160.0,154.21606350696112,152.38574748529336
165.0,159.46246924426978,152.38574748529336
170.0,160.5132345365194,152.38574748529336
175.0,149.38745155735967,152.38574748529336
180.0,115.74577388579866,136.5921629526007
185.0,122.10222136438213,136.5921629526007
190.0,128.6314945733938,136.5921629526007
195.0,138.7454385179275,136.5921629526007
200.0,131.70154224450118,136.5921629526007
205.0,136.79864293303967,136.5921629526007
210.0,140.13973515771016,136.5921629526007
215.0,140.77760372304652,136.5921629526007
220.0,156.93693039698988,136.5921629526007
225.0,154.91349216839242,136.5921629526007
230.0,138.2320135090218,136.5921629526007
235.0,134.38106695700438,136.5921629526007
240.0,135.64135189795442,144.18680378595184
245.0,134.42677091716172,144.18680378595184
250.0,134.32172301327478,144.18680378595184
255.0,139.70403423279294,144.18680378595184
260.0,132.14641494962524,144.18680378595184
265.0,130.31060647057734,144.18680378595184
270.0,144.64881044666276,144.18680378595184
275.0,154.68130984427484,144.18680378595184
280.0,154.68411529212412,144.18680378595184
285.0,159.54089136522214,144.18680378595184
290.0,157.0213773745807,144.18680378595184
295.0,153.11423962717132,144.18680378595184
300.0,143.0869388011603,139.92488148161723
305.0,140.88226611375524,139.92488148161723
310.0,151.60542394297295,139.92488148161723
315.0,154.3255281974229,139.92488148161723
320.0,148.8473226227309,139.92488148161723
325.0,142.22678316410745,139.92488148161723
330.0,138.79211947727333,139.92488148161723
335.0,131.82615065153072,139.92488148161723
340.0,133.0647364071428,139.92488148161723
345.0,142.40224792102998,139.92488148161723
350.0,129.70225905188744,139.92488148161723
355.0,122.33680142839265,139.92488148161723
360.0,116.82954045255939,125.77659537797024
365.0,126.60384921373742,125.77659537797024
370.0,124.31355473462791,125.77659537797024
375.0,129.9775110797731,125.77659537797024
380.0,120.07252223179616,125.77659537797024
385.0,122.8074211606004,125.77659537797024
390.0,127.2488889788514,125.77659537797024
395.0,126.69424616553565,125.77659537797024
400.0,130.79714774150827,125.77659537797024
405.0,125.81452392639035,125.77659537797024
410.0,130.44913990731172,125.77659537797024
415.0,127.71079894295093,125.77659537797024
420.0,144.81068545371357,153.83947484803184
425.0,147.4537938039117,153.83947484803184
430.0,160.92291729428368,153.83947484803184
435.0,155.8510514455646,153.83947484803184
440.0,157.7875348742395,153.83947484803184
445.0,156.8714126384243,153.83947484803184
450.0,157.6304134438674,153.83947484803184
455.0,165.21351863079815,153.83947484803184
460.0,158.66235746734577,153.83947484803184
465.0,154.4904729698584,153.83947484803184
470.0,142.81835563779075,153.83947484803184
475.0,143.56118451658446,153.83947484803184
480.0,131.7099867862366,127.729934066387
485.0,130.38812472194988,127.729934066387
490.0,121.36630700594527,127.729934066387
495.0,121.29948956084544,127.729934066387
500.0,126.50509488636466,127.729934066387
505.0,136.58082151127005,127.729934066387
510.0,142.7885207879943,127.729934066387
515.0,135.21828837004088,127.729934066387
520.0,133.1291868720407,127.729934066387
525.0,114.8285464741878,127.729934066387
530.0,116.35933636400416,127.729934066387
535.0,122.58550545576436,127.729934066387
540.0,135.98520778080714,135.81319137855093
545.0,134.75769198802732,135.81319137855093
550.0,127.4700071061943,135.81319137855093
555.0,132.5227771881183,135.81319137855093
560.0,127.4163637363014,135.81319137855093
565.0,134.35706741320345,135.81319137855093
570.0,146.1098018959818,135.81319137855093
575.0,145.879609123543,135.81319137855093
580.0,134.92866082037253,135.81319137855093
585.0,133.99067570402843,135.81319137855093
