threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.08918169209431345,0.8918169209431346,0.44244105409153955
-9.0,0.09320388349514563,0.9320388349514563,0.4507628294036061
-8.0,0.09930651872399446,0.9930651872399445,0.46879334257975036
-7.0,0.10471567267683772,1.0471567267683772,0.4895977808599168
-6.0,0.10943134535367545,1.0943134535367545,0.5006934812760055
-5.0,0.11525658807212205,1.1525658807212205,0.5048543689320388
-4.0,0.11983356449375866,1.1983356449375866,0.5159500693481276
-3.0,0.1263522884882108,1.2635228848821083,0.5228848821081831
-2.0,0.13259361997226074,1.3259361997226076,0.5339805825242718
-1.0,0.13869625520110956,1.3869625520110958,0.550624133148405
0.0,0.14674063800277393,1.4674063800277393,0.5644937586685159
1.0,0.1553398058252427,1.5533980582524272,0.5839112343966713
2.0,0.16324549237170596,1.6324549237170596,0.6047156726768377
3.0,0.1694868238557559,1.6948682385575589,0.6144244105409153
4.0,0.17725381414701802,1.7725381414701804,0.636615811373093
5.0,0.1884882108183079,1.884882108183079,0.6588072122052705
6.0,0.20194174757281552,2.0194174757281553,0.6768377253814147
7.0,0.21664355062413315,2.1664355062413314,0.6893203883495146
8.0,0.22940360610263522,2.294036061026352,0.7087378640776699
9.0,0.24174757281553397,2.4174757281553396,0.7281553398058253
10.0,0.2522884882108183,2.5228848821081833,0.7364771151178918
11.0,0.2650485436893204,2.650485436893204,0.7572815533980582
12.0,0.2768377253814147,2.768377253814147,0.7753120665742025
13.0,0.2902912621359223,2.9029126213592233,0.7919556171983356
14.0,0.30124826629681,3.0124826629681,0.812760055478502
15.0,0.31650485436893205,3.1650485436893203,0.8280166435506241
16.0,0.32815533980582523,3.2815533980582523,0.8474341192787794
17.0,0.3402219140083218,3.4022191400832176,0.8599167822468793
18.0,0.357004160887656,3.5700416088765605,0.8793342579750347
19.0,0.37087378640776697,3.70873786407767,0.8959778085991679
20.0,0.386130374479889,3.8613037447988905,0.912621359223301
