esr_bps_hz,cdf,window_index,window_style
64.1775018230091,0.08333333333333333,16,solid
69.17498042816791,0.16666666666666666,16,solid
70.45601249887595,0.25,16,solid
71.9053830755407,0.3333333333333333,16,solid
73.57375787901863,0.4166666666666667,16,solid
73.98798570450455,0.5,16,solid
76.38331275347682,0.5833333333333334,16,solid
80.95933999367604,0.6666666666666666,16,solid
81.3822999648121,0.75,16,solid
84.37612343450758,0.8333333333333334,16,solid
85.94737031898129,0.9166666666666666,16,solid
89.84271202486663,1.0,16,solid
