esr_bps_hz,cdf,window_index,window_style
124.83490545665941,0.08333333333333333,23,dash dot
129.96242113687282,0.16666666666666666,23,dash dot
134.9316418302618,0.25,23,dash dot
136.16326770027862,0.3333333333333333,23,dash dot
140.59089090552385,0.4166666666666667,23,dash dot
142.5009061655732,0.5,23,dash dot
143.83240853126645,0.5833333333333334,23,dash dot
145.22736818138287,0.6666666666666666,23,dash dot
146.74191293966183,0.75,23,dash dot
150.31180258400806,0.8333333333333334,23,dash dot
152.64679973290617,0.9166666666666666,23,dash dot
153.4549475247849,1.0,23,dash dot
