value_db,cdf
-120.0,0.001639344262295082
-120.0,0.003278688524590164
-120.0,0.004918032786885246
-120.0,0.006557377049180328
-120.0,0.00819672131147541
-120.0,0.009836065573770493
-120.0,0.011475409836065573
-120.0,0.013114754098360656
-120.0,0.014754098360655738
-120.0,0.01639344262295082
-120.0,0.018032786885245903
-120.0,0.019672131147540985
-120.0,0.021311475409836064
-120.0,0.022950819672131147
-120.0,0.02459016393442623
-120.0,0.02622950819672131
-120.0,0.027868852459016394
-120.0,0.029508196721311476
-120.0,0.03114754098360656
-120.0,0.03278688524590164
-120.0,0.03442622950819672
-120.0,0.036065573770491806
-120.0,0.03770491803278689
-120.0,0.03934426229508197
-120.0,0.040983606557377046
-120.0,0.04262295081967213
-120.0,0.04426229508196721
-120.0,0.04590163934426229
-120.0,0.047540983606557376
-120.0,0.04918032786885246
-120.0,0.05081967213114754
-120.0,0.05245901639344262
-120.0,0.054098360655737705
-120.0,0.05573770491803279
-120.0,0.05737704918032787
-120.0,0.05901639344262295
-120.0,0.060655737704918035
-120.0,0.06229508196721312
-120.0,0.06393442622950819
-120.0,0.06557377049180328
-120.0,0.06721311475409836
-120.0,0.06885245901639345
-120.0,0.07049180327868852
-120.0,0.07213114754098361
-120.0,0.07377049180327869
-120.0,0.07540983606557378
-120.0,0.07704918032786885
-120.0,0.07868852459016394
-120.0,0.08032786885245902
-120.0,0.08196721311475409
-120.0,0.08360655737704918
-120.0,0.08524590163934426
-120.0,0.08688524590163935
-120.0,0.08852459016393442
-120.0,0.09016393442622951
-120.0,0.09180327868852459
-120.0,0.09344262295081968
-120.0,0.09508196721311475
-120.0,0.09672131147540984
-120.0,0.09836065573770492
-120.0,0.1
-120.0,0.10163934426229508
-120.0,0.10327868852459017
-120.0,0.10491803278688525
-120.0,0.10655737704918032
-120.0,0.10819672131147541
-120.0,0.10983606557377049
-120.0,0.11147540983606558
-120.0,0.11311475409836065
-120.0,0.11475409836065574
-120.0,0.11639344262295082
-120.0,0.1180327868852459
-120.0,0.11967213114754098
-120.0,0.12131147540983607
-120.0,0.12295081967213115
-120.0,0.12459016393442623
-120.0,0.12622950819672132
-120.0,0.12786885245901639
-120.0,0.12950819672131147
-120.0,0.13114754098360656
-120.0,0.13278688524590163
-120.0,0.13442622950819672
-120.0,0.1360655737704918
-120.0,0.1377049180327869
-120.0,0.13934426229508196
-120.0,0.14098360655737704
-120.0,0.14262295081967213
-120.0,0.14426229508196722
-120.0,0.14590163934426228
-120.0,0.14754098360655737
-120.0,0.14918032786885246
-120.0,0.15081967213114755
-120.0,0.15245901639344261
-120.0,0.1540983606557377
-120.0,0.1557377049180328
-120.0,0.15737704918032788
-120.0,0.15901639344262294
-120.0,0.16065573770491803
-120.0,0.16229508196721312
-120.0,0.16393442622950818
-120.0,0.16557377049180327
-120.0,0.16721311475409836
-120.0,0.16885245901639345
-120.0,0.17049180327868851
-120.0,0.1721311475409836
-120.0,0.1737704918032787
-120.0,0.17540983606557378
-120.0,0.17704918032786884
-120.0,0.17868852459016393
-120.0,0.18032786885245902
-120.0,0.1819672131147541
-120.0,0.18360655737704917
-120.0,0.18524590163934426
-120.0,0.18688524590163935
-120.0,0.1885245901639344
-120.0,0.1901639344262295
-120.0,0.1918032786885246
-120.0,0.19344262295081968
-120.0,0.19508196721311474
-120.0,0.19672131147540983
-120.0,0.19836065573770492
-120.0,0.2
-120.0,0.20163934426229507
-120.0,0.20327868852459016
-120.0,0.20491803278688525
-120.0,0.20655737704918034
-120.0,0.2081967213114754
-120.0,0.2098360655737705
-120.0,0.21147540983606558
-120.0,0.21311475409836064
-120.0,0.21475409836065573
-120.0,0.21639344262295082
-120.0,0.2180327868852459
-120.0,0.21967213114754097
-120.0,0.22131147540983606
-120.0,0.22295081967213115
-120.0,0.22459016393442624
-120.0,0.2262295081967213
-120.0,0.2278688524590164
-120.0,0.22950819672131148
-120.0,0.23114754098360657
-120.0,0.23278688524590163
-120.0,0.23442622950819672
-120.0,0.2360655737704918
-120.0,0.23770491803278687
-120.0,0.23934426229508196
-120.0,0.24098360655737705
-120.0,0.24262295081967214
-120.0,0.2442622950819672
-120.0,0.2459016393442623
-120.0,0.24754098360655738
-120.0,0.24918032786885247
-120.0,0.25081967213114753
-120.0,0.25245901639344265
-120.0,0.2540983606557377
-120.0,0.25573770491803277
-120.0,0.2573770491803279
-120.0,0.25901639344262295
-120.0,0.260655737704918
