esr_bps_hz,cdf,window_index,window_style
76.30557699312227,0.08333333333333333,57,dashed
76.47435911392868,0.16666666666666666,57,dashed
76.50513115799818,0.25,57,dashed
80.47164763082212,0.3333333333333333,57,dashed
81.31974539200347,0.4166666666666667,57,dashed
81.52052863840183,0.5,57,dashed
83.49920068026407,0.5833333333333334,57,dashed
83.82363366817012,0.6666666666666666,57,dashed
84.55462983090727,0.75,57,dashed
85.97082562113933,0.8333333333333334,57,dashed
88.29043228922288,0.9166666666666666,57,dashed
93.70536767892223,1.0,57,dashed
