threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.009986130374479889,0.09986130374479889,0.08044382801664356
-9.0,0.010263522884882107,0.10263522884882108,0.08321775312066575
-8.0,0.010957004160887657,0.10957004160887657,0.09015256588072122
-7.0,0.011511789181692095,0.11511789181692095,0.0957004160887656
-6.0,0.011650485436893204,0.11650485436893204,0.0970873786407767
-5.0,0.011789181692094313,0.11789181692094314,0.09847434119278779
-4.0,0.012482662968099861,0.12482662968099861,0.10540915395284327
-3.0,0.013869625520110958,0.13869625520110956,0.11789181692094314
-2.0,0.014840499306518724,0.14840499306518723,0.1276005547850208
-1.0,0.016643550624133148,0.1664355062413315,0.14563106796116504
0.0,0.01872399445214979,0.18723994452149792,0.1650485436893204
1.0,0.01955617198335645,0.1955617198335645,0.17198335644937587
2.0,0.020249653259361997,0.20249653259361997,0.17753120665742025
3.0,0.020665742024965326,0.20665742024965325,0.18169209431345354
4.0,0.020943134535367544,0.20943134535367544,0.18446601941747573
5.0,0.02260748959778086,0.2260748959778086,0.20110957004160887
6.0,0.02302357836338419,0.2302357836338419,0.20527045769764216
7.0,0.023855755894590845,0.23855755894590847,0.20943134535367544
8.0,0.024549237170596393,0.24549237170596394,0.21497919556171982
9.0,0.02579750346740638,0.2579750346740638,0.2260748959778086
10.0,0.027323162274618586,0.27323162274618584,0.23994452149791956
11.0,0.0289875173370319,0.289875173370319,0.24410540915395285
12.0,0.030513176144244106,0.30513176144244103,0.2565880721220527
13.0,0.03203883495145631,0.32038834951456313,0.26907073509015256
14.0,0.035922330097087375,0.3592233009708738,0.29680998613037446
15.0,0.04008321775312067,0.40083217753120665,0.3217753120665742
16.0,0.044521497919556174,0.44521497919556174,0.34812760055478503
17.0,0.050208044382801666,0.5020804438280166,0.3841886269070735
18.0,0.056726768377253815,0.5672676837725381,0.4188626907073509
19.0,0.06116504854368932,0.6116504854368932,0.43828016643550627
20.0,0.06601941747572816,0.6601941747572816,0.4590846047156727
