time_s,esr_bps_hz,window_mean_esr_bps_hz
0.0,96.5037111538936,80.61510123722476
10.0,86.81459713488812,80.61510123722476
20.0,82.97178438130635,80.61510123722476
30.0,87.10407994530098,80.61510123722476
40.0,68.33109441845342,80.61510123722476
50.0,61.965340389506125,80.61510123722476
60.0,79.28050233601424,71.01014439240481
70.0,61.12898887202532,71.01014439240481
80.0,72.24984029711668,71.01014439240481
90.0,84.24005685810444,71.01014439240481
100.0,77.4939874996047,71.01014439240481
110.0,51.667490491563534,71.01014439240481
120.0,55.567150311457816,60.02898240221714
130.0,63.02806733307999,60.02898240221714
140.0,52.94598010977054,60.02898240221714
150.0,42.0731339491845,60.02898240221714
160.0,68.32318622865493,60.02898240221714
170.0,78.23637648115505,60.02898240221714
180.0,60.859185591015745,56.113019989031784
190.0,44.3788214730754,56.113019989031784
200.0,59.41129546900062,56.113019989031784
210.0,48.122319372208516,56.113019989031784
220.0,63.63070396005103,56.113019989031784
230.0,60.27579406883936,56.113019989031784
240.0,62.090040803228916,69.42615460315946
250.0,68.04185866716051,69.42615460315946
260.0,69.44725492690404,69.42615460315946
270.0,77.01081211929257,69.42615460315946
280.0,62.68960057561013,69.42615460315946
290.0,77.27736052676056,69.42615460315946
300.0,82.36838942035403,71.74683259480678
310.0,74.75224083950305,71.74683259480678
320.0,73.30164416186312,71.74683259480678
330.0,72.34202521374696,71.74683259480678
340.0,64.43348444712306,71.74683259480678
350.0,63.28321148625037,71.74683259480678
360.0,75.05713178333059,70.82073346637465
370.0,69.76838722417524,70.82073346637465
380.0,68.74617202612025,70.82073346637465
390.0,62.18794585460151,70.82073346637465
400.0,63.71025374096061,70.82073346637465
410.0,85.45451016905977,70.82073346637465
420.0,65.84346653197018,62.51342193098092
430.0,62.23076682313673,62.51342193098092
440.0,59.62604398749558,62.51342193098092
450.0,66.33395471666321,62.51342193098092
460.0,68.28054085353344,62.51342193098092
470.0,52.765758673086395,62.51342193098092
480.0,68.93652530115298,67.74661418210543
490.0,79.73653919902797,67.74661418210543
500.0,80.41622051454054,67.74661418210543
510.0,70.8176204844407,67.74661418210543
520.0,52.49941077161445,67.74661418210543
530.0,54.073368821855944,67.74661418210543
540.0,57.87708699914048,57.284915199034884
550.0,58.96576205317548,57.284915199034884
560.0,57.22281034460686,57.284915199034884
570.0,60.34069581395016,57.284915199034884
580.0,53.7726244574447,57.284915199034884
590.0,55.53051152589161,57.284915199034884
600.0,44.254721151248866,44.254721151248866
