threshold_db,outage_fraction,mean_users_below_threshold,probability_any_user_below_threshold
-10.0,0.13934426229508196,1.3934426229508197,0.9672131147540983
-9.0,0.14098360655737704,1.4098360655737705,0.9672131147540983
-8.0,0.14098360655737704,1.4098360655737705,0.9672131147540983
-7.0,0.14262295081967213,1.4262295081967213,0.9672131147540983
-6.0,0.14262295081967213,1.4262295081967213,0.9672131147540983
-5.0,0.15081967213114755,1.5081967213114753,0.9672131147540983
-4.0,0.1540983606557377,1.540983606557377,0.9672131147540983
-3.0,0.15737704918032788,1.5737704918032787,0.9672131147540983
-2.0,0.16885245901639345,1.6885245901639345,0.9672131147540983
-1.0,0.1737704918032787,1.7377049180327868,0.9672131147540983
0.0,0.18032786885245902,1.8032786885245902,0.9672131147540983
1.0,0.18688524590163935,1.8688524590163935,0.9672131147540983
2.0,0.2,2.0,0.9672131147540983
3.0,0.21147540983606558,2.1147540983606556,0.9672131147540983
4.0,0.21639344262295082,2.1639344262295084,0.9672131147540983
5.0,0.2278688524590164,2.278688524590164,0.9672131147540983
6.0,0.2360655737704918,2.360655737704918,0.9672131147540983
7.0,0.2459016393442623,2.459016393442623,0.9672131147540983
8.0,0.25245901639344265,2.5245901639344264,0.9672131147540983
9.0,0.26721311475409837,2.6721311475409837,0.9672131147540983
10.0,0.28032786885245903,2.80327868852459,0.9672131147540983
11.0,0.29508196721311475,2.9508196721311477,0.9672131147540983
12.0,0.3114754098360656,3.1147540983606556,0.9672131147540983
13.0,0.34098360655737703,3.4098360655737703,0.9836065573770492
14.0,0.36065573770491804,3.6065573770491803,1.0
15.0,0.3819672131147541,3.819672131147541,1.0
16.0,0.3950819672131147,3.9508196721311477,1.0
17.0,0.4081967213114754,4.081967213114754,1.0
18.0,0.43278688524590164,4.327868852459017,1.0
19.0,0.4540983606557377,4.540983606557377,1.0
20.0,0.4786885245901639,4.786885245901639,1.0
